Nome: CRUZ ALTA
Codigo Estacao: A853
Latitude: -28.60344
Longitude: -53.673597
Altitude: 426.69
Situacao: Operante
Data Inicial: 2007-05-30
Data Final: 2025-04-25
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);TEMPERATURA MEDIA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2007-05-30;null;null;null;null;
2007-05-31;null;null;null;null;
2007-06-01;null;12.9;78.6;1.6;
2007-06-02;.2;8.5;78.8;1.5;
2007-06-03;0;9.4;69;2.6;
2007-06-04;0;10.9;62.8;1.3;
2007-06-05;0;12.6;61.2;1.4;
2007-06-06;0;13.8;60.5;1.5;
2007-06-07;0;17;65.1;1.1;
2007-06-08;0;17.3;82.4;3.1;
2007-06-09;.4;20.9;77;1.4;
2007-06-10;1;22.1;68.4;2;
2007-06-11;null;null;57.6;2.7;
2007-06-12;0;21.5;60.5;1.6;
2007-06-13;0;22;61;2.5;
2007-06-14;0;22.1;59.6;1.9;
2007-06-15;0;17.2;77;4.5;
2007-06-16;13.8;7.6;82.3;3.2;
2007-06-17;0;9.4;85.2;1.8;
2007-06-18;0;11.3;87.2;3.5;
2007-06-19;.6;18.8;74.8;2.3;
2007-06-20;0;22.2;61.4;2.5;
2007-06-21;0;22.1;57.4;2.1;
2007-06-22;0;21.2;60.6;2.2;
2007-06-23;0;18.8;68.7;2.7;
2007-06-24;9.8;9.5;76.8;3.8;
2007-06-25;0;5.8;66.3;4.4;
2007-06-26;4.2;11.3;94.8;1.8;
2007-06-27;4.4;9.3;97.5;3.4;
2007-06-28;1.4;9.6;91.3;1.3;
2007-06-29;0;11;85;.9;
2007-06-30;0;9.3;91;1.2;
2007-07-01;.2;7.4;97.1;2.2;
2007-07-02;.2;10.4;85.5;1.9;
2007-07-03;0;15.3;72.7;1.8;
2007-07-04;0;19.6;60;2.2;
2007-07-05;0;20.6;54.1;2.6;
2007-07-06;0;22.4;53;2.7;
2007-07-07;3.2;19.4;74.2;1.9;
2007-07-08;59.4;12.9;91.9;5.9;
2007-07-09;1.6;11.8;93.9;5.4;
2007-07-10;26.4;9.6;97.3;3.2;
2007-07-11;2.2;4.3;82.3;2.8;
2007-07-12;0;5.5;86;3.9;
2007-07-13;.4;11.8;94;2.4;
2007-07-14;.6;13.1;90.5;3.2;
2007-07-15;0;7.6;75.4;1.6;
2007-07-16;0;8.8;72;3.5;
2007-07-17;0;10.8;94.5;2.9;
2007-07-18;7;10.9;87.5;3.1;
2007-07-19;0;10.3;79.9;1.1;
2007-07-20;0;12.8;73.1;2;
2007-07-21;0;12.7;84.1;3.6;
2007-07-22;45.6;14.2;93.8;4.6;
2007-07-23;14.4;7.6;71.6;2.5;
2007-07-24;0;7;68.8;3.8;
2007-07-25;0;5.6;76.8;3.9;
2007-07-26;0;7.4;65.5;2.4;
2007-07-27;0;9.3;70.7;2;
2007-07-28;null;null;70;6.1;
2007-07-29;0;5.7;67.2;5.8;
2007-07-30;0;9.1;75.1;3.9;
2007-07-31;0;11.6;76.6;2.1;
2007-08-01;0;15.6;74.1;2.5;
2007-08-02;4.4;12.5;92.3;5.6;
2007-08-03;18.6;12.1;97.5;3.1;
2007-08-04;1;8.3;96.5;3.2;
2007-08-05;2.4;8.6;80.1;4.9;
2007-08-06;0;13.6;87.4;3.7;
2007-08-07;9.6;9;83.1;2.9;
2007-08-08;0;10.5;77.5;3.4;
2007-08-09;0;19.7;70;3.2;
2007-08-10;0;15.3;78.8;4.5;
2007-08-11;2.6;6.9;79;2.5;
2007-08-12;0;14.3;80.7;5.6;
2007-08-13;0;18.8;74.8;3.8;
2007-08-14;0;20.3;71.3;4;
2007-08-15;0;21.4;60.6;2.9;
2007-08-16;0;15.5;82.7;5.2;
2007-08-17;0;12.4;83.5;8.4;
2007-08-18;0;10.1;89.5;5.4;
2007-08-19;0;11.5;92;3.7;
2007-08-20;2;8.3;88.1;4.5;
2007-08-21;.2;8.3;78.6;4.3;
2007-08-22;0;13.5;77.3;3.4;
2007-08-23;0;20.8;65.6;2.2;
2007-08-24;0;19.4;64.9;4.1;
2007-08-25;10.2;13.2;88.8;7.3;
2007-08-26;13;12.9;94.9;3.9;
2007-08-27;1.8;8.1;82.2;4;
2007-08-28;0;7.8;79.2;2.6;
2007-08-29;0;10.2;70.5;4.6;
2007-08-30;0;13.1;77.3;6.9;
2007-08-31;0;15.2;83.5;3.3;
2007-09-01;.2;13.4;91.1;3.3;
2007-09-02;3.4;16.7;82.8;5.2;
2007-09-03;0;20.4;76;3.5;
2007-09-04;0;22.7;65;2.6;
2007-09-05;0;22.5;68.8;2.4;
2007-09-06;0;20.7;80;4.5;
2007-09-07;0;23.1;67.9;2.5;
2007-09-08;0;23.2;64.1;2.7;
2007-09-09;0;23.1;61.8;3.2;
2007-09-10;0;22.2;59.7;2.8;
2007-09-11;0;21.4;61.8;3;
2007-09-12;.4;22.4;65.9;2.7;
2007-09-13;0;21.8;70.3;2.8;
2007-09-14;0;20.9;65.9;4.7;
2007-09-15;4.2;19.6;85.4;2.5;
2007-09-16;.2;18.6;85.6;3.3;
2007-09-17;0;18.3;79.5;7.6;
2007-09-18;16;16.2;91.2;5.5;
2007-09-19;24.4;16.3;78.6;1.9;
2007-09-20;1.2;14.1;92.9;3.3;
2007-09-21;80.4;18.3;90.3;3.5;
2007-09-22;41.4;17.5;93.3;5.6;
2007-09-23;120.4;16.8;95.8;4.3;
2007-09-24;24.6;9.8;72.7;5.6;
2007-09-25;0;9.5;72.7;4;
2007-09-26;0;11.8;83;5.7;
2007-09-27;2.4;16.9;81.8;2.7;
2007-09-28;0;16.2;70.5;3;
2007-09-29;0;17.5;65.6;6;
2007-09-30;0;18.4;66.5;5.3;
2007-10-01;0;18.3;71;5.8;
2007-10-02;0;20.4;67.5;5.5;
2007-10-03;0;21.2;74.2;4;
2007-10-04;2.4;20.9;78.3;4.5;
2007-10-05;0;21.1;72;3;
2007-10-06;0;21.7;78.4;4.2;
2007-10-07;1;19.5;86.5;5.2;
2007-10-08;0;19.6;81.7;5.4;
2007-10-09;0;22.9;74.7;3.5;
2007-10-10;10;19.8;90.1;3;
2007-10-11;27.2;17.9;93.6;3.9;
2007-10-12;31.8;17.9;94.6;3.1;
2007-10-13;21.8;15.6;81.3;3.6;
2007-10-14;0;15.5;85.3;5.1;
2007-10-15;24.6;17.1;94;4.1;
2007-10-16;15.4;18.6;90.5;3.2;
2007-10-17;.4;17.9;75.9;1.5;
2007-10-18;0;20.3;70.5;3;
2007-10-19;0;21.9;69.6;2.3;
2007-10-20;0;22.5;71;1.7;
2007-10-21;6.4;19.6;82.1;2.3;
2007-10-22;0;20.4;70.4;4.8;
2007-10-23;0;17.9;75.8;4.6;
2007-10-24;0;19.8;70.5;4.9;
2007-10-25;0;21.4;65.8;3;
2007-10-26;0;24.8;60.1;1.5;
2007-10-27;0;21.8;73.1;2.7;
2007-10-28;2.4;23.5;70.8;3.9;
2007-10-29;3.4;18.6;88.1;6.6;
2007-10-30;58.6;17.7;91;4.2;
2007-10-31;13.8;23.7;75.5;2.7;
2007-11-01;42.2;20;89.1;4.1;
2007-11-02;1.2;15.7;84.6;3.1;
2007-11-03;.2;17.1;69.5;2.4;
2007-11-04;.6;16.5;58;3.9;
2007-11-05;0;14.6;52.7;2.4;
2007-11-06;0;18.8;50.6;2.8;
2007-11-07;0;22.9;50.4;2.8;
2007-11-08;0;25.5;47.6;2.1;
2007-11-09;0;22.5;66.1;3.2;
2007-11-10;0;18.3;87.5;2.5;
2007-11-11;4.6;15.5;63.8;4.2;
2007-11-12;.2;15.2;48.8;2.9;
2007-11-13;0;20.3;59;4;
2007-11-14;36.6;17.8;83.3;4.1;
2007-11-15;0;13.4;56.7;5.4;
2007-11-16;null;null;null;null;
2007-11-17;null;null;null;null;
2007-11-18;null;null;null;null;
2007-11-19;null;null;null;null;
2007-11-20;null;24.1;57.8;3.2;
2007-11-21;0;23.6;52.2;4.2;
2007-11-22;0;24.2;47.2;4.3;
2007-11-23;0;23.7;56.5;4.2;
2007-11-24;4.4;18.6;91.3;2.9;
2007-11-25;11.6;19.9;78;3.4;
2007-11-26;.2;19.9;62.3;3.8;
2007-11-27;0;21.6;52.4;4.3;
2007-11-28;0;22.6;51.4;5.2;
2007-11-29;0;22.5;54.6;5.7;
2007-11-30;0;23.4;53;4.8;
2007-12-01;0;25;53.3;4.6;
2007-12-02;0;25.6;52;4.2;
2007-12-03;0;23.8;65.1;2.9;
2007-12-04;0;27.7;55;3.9;
2007-12-05;9.4;21.7;83.4;4.1;
2007-12-06;0;20.6;72.9;4.7;
2007-12-07;0;22;54.1;2.6;
2007-12-08;0;24.7;40.4;3.5;
2007-12-09;0;25.1;44.1;2.5;
2007-12-10;0;25.3;63.6;4.3;
2007-12-11;25.8;20.3;88;6.4;
2007-12-12;0;19.5;60.5;5.1;
2007-12-13;0;23;62.7;4;
2007-12-14;0;24.4;54.1;4.6;
2007-12-15;0;25.6;46.3;3.3;
2007-12-16;0;23.1;68.6;6;
2007-12-17;0;23.1;63.2;6.2;
2007-12-18;0;22.8;68.7;3.5;
2007-12-19;0;23;58.2;2.8;
2007-12-20;0;23.8;51.6;3.8;
2007-12-21;0;24.5;50.8;3.3;
2007-12-22;0;24.3;57.1;1.7;
2007-12-23;3.8;26.3;49.3;3.3;
2007-12-24;0;24.9;61.4;3.5;
