Nome: RIO DO CAMPO
Codigo Estacao: A861
Latitude: -26.93749999
Longitude: -50.14555555
Altitude: 591.67
Situacao: Operante
Data Inicial: 2008-03-09
Data Final: 2025-04-25
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);TEMPERATURA MEDIA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2008-03-09;null;null;null;null;
2008-03-10;null;null;null;null;
2008-03-11;null;null;null;null;
2008-03-12;25.2;20.4;91.1;1.2;
2008-03-13;13;19.5;88.1;.9;
2008-03-14;3;19.6;78;1.1;
2008-03-15;0;18.9;76.2;1.5;
2008-03-16;0;19.2;77;2;
2008-03-17;0;18.4;86.7;.8;
2008-03-18;.2;20.4;86.6;1;
2008-03-19;.6;21;86.1;1.1;
2008-03-20;null;null;87.9;1.3;
2008-03-21;null;null;82.5;1.3;
2008-03-22;2;20.3;86.2;1;
2008-03-23;9.8;20.8;83.5;1.3;
2008-03-24;.2;20.9;84.6;1.1;
2008-03-25;null;null;81.8;null;
2008-03-26;null;null;78.4;null;
2008-03-27;null;null;71.5;null;
2008-03-28;0;20.3;85.4;.7;
2008-03-29;.4;19.9;84.1;1;
2008-03-30;null;null;79.5;null;
2008-03-31;null;null;70;null;
2008-04-01;0;18.7;85.6;.9;
2008-04-02;null;null;null;null;
2008-04-03;null;null;63.9;null;
2008-04-04;.2;16.9;80.8;.9;
2008-04-05;0;18.2;81;.9;
2008-04-06;0;17.5;79.1;.9;
2008-04-07;0;18.4;83;.6;
2008-04-08;.2;19.1;79.4;.9;
2008-04-09;0;19.1;79.7;.8;
2008-04-10;0;19.8;86.7;1.3;
2008-04-11;6.2;20.6;88;.8;
2008-04-12;18.2;18.9;88.2;1.3;
2008-04-13;null;null;94.8;null;
2008-04-14;null;null;79.8;null;
2008-04-15;null;null;74.1;null;
2008-04-16;null;null;null;null;
2008-04-17;null;null;null;null;
2008-04-18;null;null;78.1;null;
2008-04-19;null;null;89.4;null;
2008-04-20;null;null;null;null;
2008-04-21;null;null;81.8;null;
2008-04-22;null;null;85.3;1.3;
2008-04-23;null;null;82.8;.7;
2008-04-24;.2;16.8;79.3;.8;
2008-04-25;.2;16;79.8;.5;
2008-04-26;0;15.9;85.4;1.2;
2008-04-27;.2;17.4;86.6;.9;
2008-04-28;.4;18.7;92.9;1.6;
2008-04-29;null;null;93.9;null;
2008-04-30;null;null;58;null;
2008-05-01;.2;8.5;92;.8;
2008-05-02;null;null;null;null;
