Nome: MAJOR VIEIRA
Codigo Estacao: A864
Latitude: -26.3936111
Longitude: -50.36333333
Altitude: 799.58
Situacao: Operante
Data Inicial: 2009-02-08
Data Final: 2025-04-25
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);TEMPERATURA MEDIA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2009-02-08;null;null;null;null;
2009-02-09;null;null;null;null;
2009-02-10;null;null;82.9;null;
2009-02-11;0;21.3;91.3;2.5;
2009-02-12;11.4;20;80.1;2.4;
2009-02-13;0;18.1;76.2;3.1;
2009-02-14;0;17.1;83.5;1.9;
2009-02-15;0;18.7;87.7;2.4;
2009-02-16;.8;19.4;90;2.5;
2009-02-17;37;20.5;91.4;3;
2009-02-18;3.8;22.4;86.8;1.6;
2009-02-19;.2;22.4;81.2;2.2;
2009-02-20;0;21.6;85;1.9;
2009-02-21;0;21.3;87.7;2.1;
2009-02-22;7.4;22.3;81.6;2;
2009-02-23;0;22.5;81.3;2;
2009-02-24;0;19.8;91.3;2.6;
2009-02-25;25.2;17.2;93.3;3.8;
2009-02-26;2;18.6;93.1;2.7;
2009-02-27;3;21.1;91.4;1.4;
2009-02-28;27.2;21.5;90.8;1.7;
2009-03-01;22;23.4;84.6;2.2;
2009-03-02;9.8;23.9;81.4;2.7;
2009-03-03;0;23.3;79.9;1.4;
2009-03-04;0;23.7;85.2;2;
2009-03-05;.2;23;78.1;2.5;
2009-03-06;null;null;67.7;2.8;
2009-03-07;0;21.8;81.9;2.4;
2009-03-08;5.4;20.3;91.2;2.4;
2009-03-09;1.6;19.8;83.9;1.3;
2009-03-10;0;20;86.9;3.2;
2009-03-11;.2;20.3;90;1.6;
2009-03-12;10.2;21.3;88.7;1.2;
2009-03-13;1.8;20.6;82.4;1.7;
2009-03-14;0;19.1;76.1;2.5;
2009-03-15;0;18.4;72.8;1.6;
2009-03-16;0;19.1;81.5;1.7;
2009-03-17;0;21.4;77.5;2.7;
2009-03-18;0;18.7;88.4;2.8;
2009-03-19;0;18.7;85.4;2.6;
2009-03-20;.4;19.5;87;1.7;
2009-03-21;0;20.7;82;1.5;
2009-03-22;0;21;79.6;1.2;
2009-03-23;0;21;77.9;1.7;
2009-03-24;0;20.3;79.5;2.5;
2009-03-25;0;18.9;85.3;2.8;
2009-03-26;0;20.3;78.2;2.2;
2009-03-27;0;20.3;78.9;1.8;
2009-03-28;0;19.7;85.5;2.3;
2009-03-29;13.6;18.4;84.3;1.2;
2009-03-30;0;20.8;84.4;1.3;
2009-03-31;.2;19.5;86.4;1.6;
2009-04-01;.2;19.9;83.6;1.8;
2009-04-02;0;17.4;86.2;2.7;
2009-04-03;.4;18.6;85.6;1.8;
2009-04-04;0;20.7;77.5;1.5;
2009-04-05;1.4;21;84.3;1.9;
2009-04-06;4.6;21.1;83.5;1.5;
2009-04-07;0;21.5;78.7;1.6;
2009-04-08;0;20.3;84;1.7;
2009-04-09;0;19.2;80.1;2.4;
2009-04-10;.2;17.1;62.1;3.9;
2009-04-11;0;14.7;75.1;1.6;
2009-04-12;0;17.1;82.5;1.6;
2009-04-13;0;19;82.4;1.8;
2009-04-14;0;20.5;71.7;1.9;
2009-04-15;0;18.7;77.8;2.1;
2009-04-16;0;17;77;1.4;
2009-04-17;0;17.1;75;2.1;
2009-04-18;.2;15.7;84.3;1.8;
2009-04-19;.4;16.2;72.3;1.8;
2009-04-20;0;16.8;79.3;2.5;
2009-04-21;.4;14.7;88.5;3.6;
2009-04-22;16;15.2;95.4;1.5;
2009-04-23;3.6;16.4;87.8;1.5;
2009-04-24;.2;16.7;84.5;2.9;
2009-04-25;0;16.6;88.5;2.1;
2009-04-26;.2;17.8;85.1;1.6;
2009-04-27;.2;17.4;85.2;1.4;
2009-04-28;0;17.5;81.9;1.4;
2009-04-29;0;16.6;81.6;1.7;
2009-04-30;.2;16.8;73.7;2.3;
2009-05-01;0;15.2;85.6;2.5;
2009-05-02;0;15.1;83.4;2;
2009-05-03;0;15;83.3;1.8;
2009-05-04;.6;16.1;85.4;2.1;
2009-05-05;.4;15;82;2.2;
2009-05-06;0;15.4;71.9;3.1;
2009-05-07;0;11.5;68.8;1.4;
2009-05-08;0;11.5;92.7;1.1;
2009-05-09;1;15.7;89.4;1.2;
2009-05-10;0;17.6;83.3;1.5;
2009-05-11;.2;16.4;90;1.9;
2009-05-12;.2;18.1;87.2;2.1;
2009-05-13;16.6;18.1;86.7;2.1;
2009-05-14;33.8;16.4;93.8;3.3;
2009-05-15;4.8;10.5;72.2;3.8;
2009-05-16;0;7.5;78.7;1.3;
2009-05-17;0;9.8;87.9;1.6;
2009-05-18;.4;9.6;95;1.7;
2009-05-19;.2;13.4;84.1;1.2;
