Nome: LAGES
Codigo Estacao: A865
Latitude: -27.80222222
Longitude: -50.33555555
Altitude: 952.7
Situacao: Operante
Data Inicial: 2014-11-05
Data Final: 2025-04-25
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);TEMPERATURA MEDIA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2014-11-05;null;null;null;null;
2014-11-06;null;null;null;null;
2014-11-07;null;null;null;null;
2014-11-08;null;null;null;null;
2014-11-09;null;null;null;null;
2014-11-10;null;null;null;null;
2014-11-11;null;17.9;72.4;3.3;
2014-11-12;1.2;17.1;85.8;3.5;
2014-11-13;6.4;17.1;78;3.4;
2014-11-14;0;15.4;69.1;2.5;
2014-11-15;14.2;15.7;72.2;2.6;
2014-11-16;0;17.4;62.6;2.8;
2014-11-17;0;17.3;57.5;2.3;
2014-11-18;0;15.8;68.5;4.6;
2014-11-19;0;16.7;80.3;5.3;
2014-11-20;0;18.4;84.5;4.2;
2014-11-21;0;18.7;87.2;3.7;
2014-11-22;9.8;19.7;85.5;3.1;
2014-11-23;0;18.9;64.2;2.3;
2014-11-24;.2;17.5;88.4;4.5;
2014-11-25;8;17.5;92.1;4;
2014-11-26;18.2;20.4;78.1;2.7;
2014-11-27;0;18.9;81;2.2;
2014-11-28;0;19.8;75.5;3.5;
2014-11-29;0;19.2;72.9;5.2;
2014-11-30;.2;18.2;86.8;5;
2014-12-01;0;18.9;85.8;4.3;
2014-12-02;0;21.8;82;3.6;
2014-12-03;14.4;20;87.8;3.6;
2014-12-04;14.8;18.3;65.5;2.9;
2014-12-05;0;17.1;57.7;4.5;
2014-12-06;0;17.1;61.5;4.9;
2014-12-07;0;21.3;68.4;3.5;
2014-12-08;0;23.2;68.5;3.4;
2014-12-09;0;20.6;82.7;2.6;
2014-12-10;2.8;20.8;84.7;2.4;
2014-12-11;.2;21.1;87.9;1.9;
2014-12-12;8.2;20.1;91.8;2.5;
2014-12-13;14.8;20;80.5;3.5;
2014-12-14;0;19.7;62.4;2.7;
2014-12-15;0;17.3;74;3.8;
2014-12-16;0;17.5;78.3;4.3;
2014-12-17;0;18.6;79;3.6;
2014-12-18;0;20.5;80.6;1.8;
2014-12-19;1;18.8;85.6;3.8;
2014-12-20;.6;20.2;88.1;3.3;
2014-12-21;20.8;21;86.1;4;
2014-12-22;28.2;18.8;87.2;2.2;
2014-12-23;11.8;15;81.7;2.7;
2014-12-24;2.6;15.4;79.8;4.3;
2014-12-25;0;16.9;89.4;4.8;
2014-12-26;0;20.1;88.4;3.2;
2014-12-27;16.4;19.2;89.4;2.9;
2014-12-28;.6;20.7;84.5;2.4;
2014-12-29;21.2;21.8;78;2.3;
2014-12-30;0;21.6;82.2;2.8;
2014-12-31;23;19;94.3;2.7;
2015-01-01;21.2;20.2;87.4;2.8;
2015-01-02;19.2;19.2;86.8;3.3;
2015-01-03;.2;18.9;85.3;2.4;
2015-01-04;0;20.3;78.9;2.8;
2015-01-05;0;19.9;81.5;4.2;
2015-01-06;0;22.2;79.7;4.1;
2015-01-07;.8;23.2;78;3.5;
2015-01-08;4.8;22.1;82.3;2.2;
2015-01-09;17.2;22.6;78.8;3.4;
2015-01-10;4;21.7;84.3;2.5;
2015-01-11;8.6;21.9;81.4;2.3;
2015-01-12;.4;22.9;78;2.4;
2015-01-13;0;22;82.5;3.2;
2015-01-14;11.8;22;78.6;2.7;
2015-01-15;.4;20.7;84.3;2.2;
2015-01-16;3.4;22.1;80.1;2.7;
2015-01-17;6.6;20.3;87.6;2.3;
2015-01-18;26.8;20.5;85.3;2;
2015-01-19;8;22.6;77.7;2.5;
2015-01-20;0;20.5;87;2;
2015-01-21;15.4;19.5;79.2;2.3;
2015-01-22;1;18.5;71;3.8;
2015-01-23;0;18.1;75.3;3.5;
2015-01-24;0;20.6;72.8;2.5;
2015-01-25;11.6;19.2;87.8;2.4;
2015-01-26;20.8;21.8;76;1.6;
2015-01-27;.4;21.6;82.7;2.4;
2015-01-28;.2;20.9;87.4;2;
2015-01-29;9;20.6;83.2;3.4;
2015-01-30;1.4;16.4;83.8;2.5;
2015-01-31;6.2;16.1;92.3;4.5;
2015-02-01;2.6;17.5;91.2;4;
2015-02-02;.8;21.3;79.3;3.3;
2015-02-03;0;19.6;85.1;3.4;
2015-02-04;9;18.8;86.1;3.2;
2015-02-05;.6;19;81.8;2.3;
2015-02-06;0;18.3;79.4;2;
2015-02-07;.2;18.9;70.1;2.4;
2015-02-08;.2;19.9;79.7;2.8;
2015-02-09;.6;20.9;82;3.1;
2015-02-10;0;22.9;76;2.9;
2015-02-11;0;23;83.3;3;
2015-02-12;11.8;23.2;82.4;2.3;
2015-02-13;19;20.8;84.1;2.2;
2015-02-14;0;19.5;87.8;3.1;
2015-02-15;16.4;19;82.3;2.3;
2015-02-16;0;17.3;80;1.9;
2015-02-17;0;18.6;82.8;3.8;
2015-02-18;0;19.2;82.4;3.5;
2015-02-19;.2;20.5;86;3.3;
2015-02-20;45.4;19.9;86.3;2.1;
2015-02-21;0;20;90.5;2.9;
2015-02-22;2.4;19.7;87.8;2.2;
2015-02-23;9.8;19.5;82.6;2.7;
2015-02-24;.6;18.4;88.3;1.7;
2015-02-25;3.2;20.1;76.2;2.2;
2015-02-26;0;22;77.8;2.2;
2015-02-27;3.6;21.2;80.6;3;
2015-02-28;.2;19.8;76.8;2.6;
2015-03-01;0;17.8;77;5.3;
2015-03-02;0;18.8;78.7;4.6;
2015-03-03;0;20.6;78.7;3.4;
2015-03-04;0;21.2;79.6;3.7;
2015-03-05;8.6;21;87.3;2.1;
2015-03-06;1.6;21.1;83.8;1.7;
2015-03-07;.2;20.3;79.2;1.9;
2015-03-08;0;19.7;80.5;2.3;
2015-03-09;.2;19.7;81.6;2.1;
2015-03-10;0;18.2;86.5;2.3;
2015-03-11;4.8;19.2;79.5;3.8;
2015-03-12;0;18.5;71.8;2.2;
2015-03-13;0;19.8;83;2.6;
2015-03-14;0;21.5;80.5;2.7;
2015-03-15;41.8;20.5;84.6;null;
2015-03-16;0;21.3;77.3;2;
2015-03-17;.2;18.8;77.5;2;
2015-03-18;0;19.5;75.7;3.5;
2015-03-19;0;18.2;81;2.9;
2015-03-20;0;19.4;79.5;2.7;
2015-03-21;1.8;19;85.1;2.1;
2015-03-22;1;17.1;81.2;2;
2015-03-23;9.2;15.5;84.6;2.8;
2015-03-24;0;17.8;77.7;3.2;
2015-03-25;0;18.6;78.3;3.1;
2015-03-26;0;18.5;83.9;1.8;
2015-03-27;11;17.5;91.8;1.4;
2015-03-28;.8;17.2;95.3;3.1;
2015-03-29;13;16.4;94.8;4.4;
2015-03-30;26.4;17.8;87.9;5;
2015-03-31;5.4;16.9;82.4;3.5;
2015-04-01;.2;17;76.3;1.6;
2015-04-02;0;18.3;75.8;2.3;
2015-04-03;0;18.3;74.5;2.4;
2015-04-04;0;18.4;76.5;2.6;
2015-04-05;.4;16.3;92.5;3.5;
2015-04-06;23;15.4;79.5;3.7;
