Nome: Laguna - Farol de Santa Marta
Codigo Estacao: A866
Latitude: -28.60444444
Longitude: -48.81333333
Altitude: 34.36
Situacao: Pane
Data Inicial: 2008-05-31
Data Final: 2025-04-25
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);TEMPERATURA MEDIA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2008-05-31;null;null;null;null;
2008-06-01;null;null;null;null;
2008-06-02;null;null;null;null;
2008-06-03;null;15.9;95.3;2.4;
2008-06-04;10;16.7;89.2;2.8;
2008-06-05;0;17.4;89.9;4.7;
2008-06-06;0;17.5;88.1;5.6;
2008-06-07;3;16.5;74.8;5.3;
2008-06-08;.2;17.3;87.8;2.9;
2008-06-09;0;18.1;86.8;5.2;
2008-06-10;2.4;15.6;54.6;7.5;
2008-06-11;0;12.3;64.6;3.4;
2008-06-12;.6;14.4;77.7;3.5;
2008-06-13;0;15;77.2;2.9;
2008-06-14;1.6;17.3;88.4;4.6;
2008-06-15;0;15.8;58;7.4;
2008-06-16;.2;10.9;55;6.3;
2008-06-17;0;10.4;71.8;3.2;
2008-06-18;0;11.8;80.4;3.8;
2008-06-19;0;13.8;84.8;6;
2008-06-20;0;17.2;85.2;6.1;
2008-06-21;4.2;14.8;69.5;5.1;
2008-06-22;0;13.4;70.8;7.9;
2008-06-23;0;12.3;75.5;6.3;
2008-06-24;1.4;13.2;93.2;3.6;
2008-06-25;5.4;14.9;90.7;3.2;
2008-06-26;0;16;92.8;8;
2008-06-27;8.6;17;90;6.8;
2008-06-28;10.8;16.9;95.1;6;
2008-06-29;7.8;16.7;89.9;4.8;
2008-06-30;0;15.6;93.5;3.8;
2008-07-01;0;15.8;92.1;3.2;
2008-07-02;0;15.4;87.6;3.5;
2008-07-03;2.6;16.1;91.1;2.6;
2008-07-04;0;15.9;90.4;2.8;
2008-07-05;.2;16.6;90.3;7.5;
2008-07-06;0;17.2;84.4;9.9;
2008-07-07;0;17.6;83.9;10.2;
2008-07-08;0;18.7;80;5.8;
2008-07-09;3.6;16.6;95;3.2;
2008-07-10;0;17.6;91.8;5.2;
2008-07-11;0;18;90.8;8.6;
2008-07-12;.2;18.8;86.9;12.5;
2008-07-13;0;19.3;82.2;8.1;
2008-07-14;0;19.7;83.6;2.8;
2008-07-15;0;18.7;85.5;5.3;
2008-07-16;0;18.4;75.6;5.7;
2008-07-17;0;18.2;73.1;2.5;
2008-07-18;.4;20.2;60.5;5.1;
2008-07-19;0;16.5;85.8;3.4;
2008-07-20;0;17.2;89.3;2.7;
2008-07-21;0;18.6;88.3;6.6;
2008-07-22;0;20.1;77.4;null;
2008-07-23;0;17.3;75.4;7.9;
2008-07-24;.2;17.2;83;6.1;
2008-07-25;0;15.1;64.5;10.4;
2008-07-26;0;14;79.5;6.4;
2008-07-27;0;17.8;75.9;6.5;
2008-07-28;2;16.6;88.3;6.2;
2008-07-29;0;17.2;91.1;3.1;
2008-07-30;4.2;17.9;91.4;4.8;
2008-07-31;3.2;16.5;87.5;4.2;
2008-08-01;0;16;88.1;2.2;
2008-08-02;7.6;18.3;86.9;8.5;
2008-08-03;0;15.3;78.1;10.2;
2008-08-04;0;13.1;76.9;6.7;
2008-08-05;0;16.6;79.4;6.9;
2008-08-06;0;16.1;79.2;5.9;
2008-08-07;7.6;17.5;88.9;7;
2008-08-08;.2;14.9;79.1;9.2;
2008-08-09;.6;12.9;82.8;2;
2008-08-10;1.8;15.2;92.8;4.3;
2008-08-11;1.4;17.8;90.1;null;
2008-08-12;0;18;85;null;
2008-08-13;4.6;14.4;86;5.1;
2008-08-14;4.2;14.8;94.5;3.7;
2008-08-15;.2;17;94.1;5.3;
2008-08-16;0;19;86.5;6.9;
2008-08-17;2;19.4;83.3;10.5;
2008-08-18;0;17;90.9;4.5;
2008-08-19;4.2;18.2;96.9;1.9;
2008-08-20;.2;18.2;94.4;7.2;
2008-08-21;.2;18.4;90.5;5.7;
2008-08-22;1.8;14.7;76.8;10.4;
2008-08-23;0;13.9;74.9;4.2;
2008-08-24;0;17.3;84;null;
2008-08-25;.8;17.2;87.3;6;
2008-08-26;0;15.8;84.1;6.1;
2008-08-27;0;16.8;81.5;7;
2008-08-28;0;18.5;80.3;null;
2008-08-29;.4;17.5;64.1;null;
2008-08-30;0;14.4;60.8;5.1;
2008-08-31;0;14.7;76.5;6.2;
2008-09-01;0;18.4;81;13;
2008-09-02;0;18.9;85.6;10.6;
2008-09-03;0;21.9;71.8;7.9;
2008-09-04;3.2;15.3;88.3;10.8;
2008-09-05;10.4;11.7;89.6;3.7;
2008-09-06;63;14.6;93.3;3.2;
2008-09-07;2.6;14.1;61;7;
2008-09-08;0;13.6;69.8;4.3;
2008-09-09;12.4;15.6;88.1;8.1;
2008-09-10;.2;18.2;89.7;null;
2008-09-11;6.4;19.2;91.5;7.9;
2008-09-12;17.2;17.6;92.5;7.6;
2008-09-13;5.6;14;74;9.3;
2008-09-14;0;13.4;73.4;5.5;
2008-09-15;0;14.1;74.7;5.8;
2008-09-16;0;14.7;78.1;8.7;
2008-09-17;0;14.8;83.1;5.6;
2008-09-18;2.8;15.5;84.6;4.1;
2008-09-19;0;17.6;72.8;7.8;
2008-09-20;0;17.6;81.6;10.8;
2008-09-21;24.2;16;83.9;7.3;
2008-09-22;1.6;15.5;74.2;null;
2008-09-23;1.4;16.5;88.2;11.3;
2008-09-24;0;16.4;80.9;4;
2008-09-25;0;17.4;76;4.6;
2008-09-26;3.4;16.9;89;6.8;
2008-09-27;3.4;18.1;84.3;6.1;
2008-09-28;0;18.8;82.6;8.1;
2008-09-29;5.6;18.6;87.4;10;
2008-09-30;2.4;19.3;86.6;12.4;
2008-10-01;0;19.4;90.2;11.5;
2008-10-02;2;20.1;88;5.7;
2008-10-03;0;19.2;72.6;5.7;
2008-10-04;0;18.5;84.5;8.3;
2008-10-05;2;17.4;85.1;9.4;
2008-10-06;1.8;17.5;75.5;4.6;
2008-10-07;0;17.8;75;7.6;
2008-10-08;0;15.9;63.6;7.3;
2008-10-09;0;17.7;60.1;9.8;
2008-10-10;0;18.4;80.7;12.1;
2008-10-11;.2;19;87.5;14.4;
2008-10-12;4.4;19.4;93;14.2;
2008-10-13;0;19.4;91.9;10.2;
2008-10-14;1;19.4;90.7;5.6;
2008-10-15;7;19;94.8;4.4;
2008-10-16;10.8;18.7;92.5;6.6;
2008-10-17;10.6;17.2;86;6.9;
2008-10-18;40.4;16.4;91;8.9;
2008-10-19;17.8;17.8;83.8;4.5;
2008-10-20;0;19.2;84.3;10.1;
2008-10-21;.2;19.7;87;16.7;
2008-10-22;0;19.7;87.8;10.4;
2008-10-23;.2;18.8;95.9;4.4;
2008-10-24;17.2;19.3;96.2;3.1;
2008-10-25;9.8;19.6;96.9;4.7;
2008-10-26;46;19.7;97;8.6;
2008-10-27;17;19.5;85.1;8.3;
2008-10-28;0;18.4;83.1;4.9;
2008-10-29;3;19;90.3;10.3;
2008-10-30;1.2;19;84;6.4;
2008-10-31;0;18.4;77.3;6.8;
2008-11-01;0;19.3;80;9.4;
2008-11-02;5.8;18.9;91.9;10.4;
2008-11-03;3;19.3;91.6;5.9;
2008-11-04;1.4;19.5;92.5;7.3;
2008-11-05;0;20;91.7;8.2;
2008-11-06;1.8;19.5;95.3;5.6;
2008-11-07;12.2;20.6;90.2;6.7;
2008-11-08;0;21.2;87.8;6.6;
2008-11-09;0;21.3;91.6;8.2;
2008-11-10;.2;21.1;91.2;5.5;
2008-11-11;1.4;21.2;81.8;6.5;
2008-11-12;1.4;19.1;83.4;6.1;
2008-11-13;5.4;17.5;92.6;4.6;
