Nome: RANCHO QUEIMADO
Codigo Estacao: A870
Latitude: -27.6786111
Longitude: -49.04194444
Altitude: 881
Situacao: Operante
Data Inicial: 2016-05-30
Data Final: 2025-04-25
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);TEMPERATURA MEDIA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2016-05-30;null;null;null;null;
2016-05-31;null;null;null;null;
2016-06-01;null;null;null;null;
2016-06-02;null;null;null;null;
2016-06-03;null;null;null;null;
2016-06-04;0;7.6;92.8;1.2;
2016-06-05;0;10.4;96.7;1;
2016-06-06;0;8.7;97;1.1;
2016-06-07;.8;7.9;77.3;1.3;
2016-06-08;1;6.6;69.7;1.4;
2016-06-09;0;4.2;67.6;1.3;
2016-06-10;0;7;57.1;1.3;
2016-06-11;0;3.8;64.4;1.3;
2016-06-12;0;4.6;59.7;1.3;
2016-06-13;0;5.9;73.9;1.6;
2016-06-14;0;9.6;79.5;2.1;
2016-06-15;0;11.3;85.4;1.1;
2016-06-16;0;13.7;85.8;.9;
2016-06-17;16;13.2;98.5;.8;
2016-06-18;4.4;9.2;97.9;.9;
2016-06-19;.2;9.1;93.3;1;
2016-06-20;0;7.4;74.7;1.6;
2016-06-21;0;8.1;82.7;1.6;
2016-06-22;6.6;10.3;97.4;1.2;
2016-06-23;3.2;11.4;87.2;1.2;
2016-06-24;0;10.4;89.8;1.2;
2016-06-25;0;11.2;89.4;1.8;
2016-06-26;0;12.6;88;2.1;
2016-06-27;0;10.7;91.1;1.4;
2016-06-28;0;12;87.8;1.2;
2016-06-29;0;13.4;85.7;1;
2016-06-30;0;13.8;86;1.2;
2016-07-01;0;15;82.2;1.3;
2016-07-02;0;14.9;77.3;1.3;
2016-07-03;0;15;82.3;1.5;
2016-07-04;0;15.4;82.5;1.7;
2016-07-05;0;16;83.3;1.5;
2016-07-06;0;14.9;76.9;3.5;
2016-07-07;.4;9.7;64;1.6;
2016-07-08;0;8.7;79.5;1.3;
2016-07-09;0;10;81.3;1.6;
2016-07-10;0;15.1;81.2;1.4;
2016-07-11;0;15.5;85.5;1.4;
2016-07-12;0;17.4;79.4;1.5;
2016-07-13;1;13.1;99;1.5;
2016-07-14;40.8;13.7;99;1.5;
2016-07-15;29;15.7;91.4;1.6;
2016-07-16;32.2;10.9;85.3;1.8;
2016-07-17;.2;5.8;58.2;1.6;
2016-07-18;0;4.7;81.5;1.1;
2016-07-19;0;6.8;87.5;1.3;
2016-07-20;0;7.8;82.7;1.3;
2016-07-21;0;8.7;87.8;1.1;
2016-07-22;0;9.2;87.8;1.1;
2016-07-23;0;10;86.8;2.5;
2016-07-24;0;14.4;76.9;1.3;
2016-07-25;0;13.2;84.7;1.4;
2016-07-26;0;15.9;75.8;2.2;
2016-07-27;2.2;10.9;66.8;2.9;
2016-07-28;0;7.8;85.7;1.6;
2016-07-29;0;8.2;94.1;1;
2016-07-30;0;10.8;93.7;2.7;
2016-07-31;0;14.1;85.3;2.2;
2016-08-01;0;17.6;69.6;1.5;
2016-08-02;.2;12.1;82.1;1.7;
2016-08-03;7.4;10.5;96.4;1.1;
2016-08-04;1.8;12.5;99;2.3;
2016-08-05;.4;15.3;92.6;1.8;
2016-08-06;0;17.8;77.3;1.8;
2016-08-07;6.8;11.1;86;2.1;
2016-08-08;.8;7.7;85.8;1.2;
2016-08-09;5.2;11.4;93.2;1;
2016-08-10;0;9.2;78.6;2.5;
2016-08-11;0;9.4;79.6;3.2;
2016-08-12;0;9.2;82.7;1.3;
2016-08-13;0;11.8;75.9;1.9;
2016-08-14;.2;16.7;62.4;1.3;
2016-08-15;13.2;13.9;80.8;1.8;
2016-08-16;0;15.3;76.8;1.4;
2016-08-17;0;16.4;85.6;1.8;
2016-08-18;2.8;12.4;92.5;1.3;
2016-08-19;15.8;10.4;96.7;null;
2016-08-20;38.8;13.2;96;null;
2016-08-21;12.6;8.3;88.2;null;
2016-08-22;1.4;6.3;77.6;null;
2016-08-23;.2;8.3;72.6;null;
2016-08-24;0;9.5;85.2;null;
2016-08-25;0;13.9;82;null;
2016-08-26;0;15.8;86.8;null;
2016-08-27;.2;17.1;81.4;null;
2016-08-28;0;19.9;49.3;null;
2016-08-29;0;16.7;75.7;null;
2016-08-30;13.2;16.8;93.7;null;
2016-08-31;.8;15.2;81.7;null;
2016-09-01;0;12.9;89.4;null;
2016-09-02;.2;12.5;93.9;null;
2016-09-03;.2;12.7;96.2;null;
2016-09-04;42;13.8;95.3;null;
2016-09-05;12;13.9;93.5;null;
2016-09-06;20;13.6;79.8;null;
2016-09-07;0;9.3;67.1;null;
2016-09-08;0;12.8;72.1;null;
2016-09-09;0;13.2;82.2;null;
2016-09-10;0;14.3;80.9;null;
2016-09-11;0;16.2;80.9;null;
2016-09-12;3;15.2;98.7;null;
2016-09-13;3.6;17;80.3;null;
2016-09-14;.8;13.5;53.7;null;
2016-09-15;0;12.6;67.6;null;
2016-09-16;0;12.8;83.9;null;
2016-09-17;0;14.4;87.3;null;
2016-09-18;2;16;90.6;null;
2016-09-19;3.6;13.7;91.3;null;
2016-09-20;.2;10.9;70;null;
2016-09-21;.4;12.6;87.9;null;
2016-09-22;1.8;12.7;88.7;null;
2016-09-23;.4;15.2;78.3;null;
2016-09-24;0;12.1;92.2;null;
2016-09-25;0;10.8;80.5;null;
2016-09-26;0;12.1;83.3;null;
2016-09-27;0;12.1;86.4;null;
2016-09-28;0;15.2;77.2;null;
2016-09-29;0;14.2;62.5;null;
2016-09-30;0;10.2;79.8;null;
2016-10-01;1.8;10.8;96.2;null;
2016-10-02;4;12.1;90.7;null;
