Nome: SAO MATEUS DO SUL
Codigo Estacao: A874
Latitude: -25.83555555
Longitude: -50.36888888
Altitude: 780.21
Situacao: Operante
Data Inicial: 2011-04-16
Data Final: 2025-04-25
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);TEMPERATURA MEDIA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2011-04-16;null;null;null;null;
2011-04-17;null;null;null;null;
2011-04-18;null;null;null;null;
2011-04-19;null;null;78.5;null;
2011-04-20;null;null;77.5;null;
2011-04-21;null;null;87.1;null;
2011-04-22;null;null;74.9;null;
2011-04-23;null;null;84.8;null;
2011-04-24;null;null;81.3;null;
2011-04-25;null;null;83.9;null;
2011-04-26;null;null;null;null;
2011-04-27;null;null;null;null;
2011-04-28;null;null;null;null;
2011-04-29;null;16.9;82.7;.4;
2011-04-30;null;null;null;null;
2011-05-01;null;null;null;null;
2011-05-02;null;null;null;null;
2011-05-03;null;null;72.4;null;
2011-05-04;0;11.1;87.2;.1;
2011-05-05;.2;11.7;83.3;.3;
2011-05-06;.2;14.9;80.6;.7;
2011-05-07;.2;13.9;90.8;.2;
2011-05-08;.2;14.9;88.4;.4;
2011-05-09;0;16.3;89.8;.5;
2011-05-10;0;17.6;83.6;1.1;
2011-05-11;.2;18.6;85.9;.4;
2011-05-12;0;17.8;90.1;.1;
2011-05-13;.2;16.6;88.9;.5;
2011-05-14;0;15.9;84.9;.7;
2011-05-15;30;13.5;93.4;.6;
2011-05-16;1.8;12.7;87.3;.8;
2011-05-17;.4;11;83.7;.5;
2011-05-18;0;10;87;.3;
2011-05-19;.2;10;88;.2;
2011-05-20;0;12.2;86.9;.5;
2011-05-21;.2;12.7;85.3;.7;
2011-05-22;.2;12.5;87.5;.5;
2011-05-23;0;13.3;88.8;.3;
2011-05-24;.2;15.3;91.3;.3;
2011-05-25;0;14.9;86.8;.5;
2011-05-26;0;14.3;85.7;.3;
2011-05-27;0;12.9;85;.7;
2011-05-28;0;11.4;83;.3;
2011-05-29;.2;6.2;88.1;.2;
2011-05-30;.2;6.4;87.8;.3;
2011-05-31;.2;6.7;93.8;.2;
2011-06-01;.4;8.2;89.3;.1;
2011-06-02;0;7.6;91.2;.2;
2011-06-03;.2;11.9;85.3;.3;
2011-06-04;1.8;10.6;82.3;.8;
2011-06-05;0;8.4;83;.6;
2011-06-06;0;8.2;85.6;.4;
2011-06-07;3.4;12.2;92.8;1;
2011-06-08;31.8;10.6;81;.7;
2011-06-09;13.8;9.6;93.8;.4;
2011-06-10;1;7.5;88.4;.2;
2011-06-11;.2;6.4;85;.3;
2011-06-12;.2;6.5;92.9;.2;
2011-06-13;.2;7.9;91.8;.2;
2011-06-14;.2;10.2;91.4;.5;
2011-06-15;0;12.7;84;.6;
2011-06-16;0;11.8;87.3;.6;
2011-06-17;.2;12;86.7;.4;
2011-06-18;2.8;15.5;87.9;.5;
2011-06-19;1.2;15.2;85.9;.8;
2011-06-20;0;14.2;84.5;.5;
2011-06-21;.2;13.6;90.8;.1;
2011-06-22;12.8;15.1;95;.4;
2011-06-23;2.6;15.5;91.7;.4;
2011-06-24;.2;14.1;94.1;.4;
2011-06-25;.4;15.8;88.8;1;
2011-06-26;11.6;12.5;89;1.3;
2011-06-27;.2;4;74.5;1;
2011-06-28;0;2.9;76;.3;
2011-06-29;.4;6.6;92.8;.2;
2011-06-30;38.6;12.8;96;.9;
2011-07-01;32.8;14.2;95.8;.8;
2011-07-02;17.2;15.5;94.8;.8;
2011-07-03;19.6;11.5;95.3;1;
2011-07-04;14;3.6;85.4;.3;
2011-07-05;.2;5;90.6;.3;
2011-07-06;0;8;81.4;.2;
2011-07-07;.2;5.7;82.5;.3;
2011-07-08;0;4.6;79.9;.2;
2011-07-09;.2;4.6;92.8;.3;
2011-07-10;.2;9.4;86.2;.4;
2011-07-11;.4;13.7;87.6;.3;
2011-07-12;.2;15.2;89.1;.2;
2011-07-13;0;15.6;85.4;.3;
2011-07-14;.2;15;84.8;.6;
2011-07-15;0;13.5;80.7;.7;
2011-07-16;.2;14;74;.7;
2011-07-17;0;14.5;83.2;.7;
2011-07-18;22.6;14.5;93.6;.5;
2011-07-19;.4;16;89;.3;
2011-07-20;0;17;85.8;1.1;
2011-07-21;13;15.8;94;.9;
2011-07-22;33;13;86;.8;
2011-07-23;0;12.3;81.4;1;
2011-07-24;0;14.4;84.1;.6;
2011-07-25;0;15.1;81.1;1.4;
2011-07-26;0;16.3;82.4;1.2;
2011-07-27;0;15.1;86.7;.3;
2011-07-28;.2;15.2;86.3;.4;
2011-07-29;.2;14.1;86.4;.5;
2011-07-30;18.8;15.5;92.5;.7;
2011-07-31;5.6;13.2;94.7;.8;
2011-08-01;84.2;12.7;95.9;1.4;
2011-08-02;44;11;76.5;1.6;
2011-08-03;0;6.8;73.8;1.4;
2011-08-04;0;5.8;71.4;.9;
2011-08-05;.2;5.9;81.6;.5;
2011-08-06;0;14.1;74.8;.3;
2011-08-07;0;15.4;82.4;.6;
2011-08-08;12.4;16.4;85.2;.8;
2011-08-09;18.8;16.4;88.4;1.1;
2011-08-10;1.6;14.9;82.9;1.2;
2011-08-11;0;14.5;83.4;.8;
2011-08-12;.2;13.1;89.5;.2;
2011-08-13;.2;15.7;82;.4;
2011-08-14;0;16.1;83.6;1.1;
2011-08-15;0;16.2;79.1;1.1;
2011-08-16;.2;16.8;77.1;.9;
2011-08-17;0;15.5;78.8;.1;
2011-08-18;11.4;14.5;95.5;.7;
2011-08-19;62.6;14.7;94.8;1.9;
2011-08-20;21.8;12.2;74;2.2;
2011-08-21;.2;6.2;77.1;.7;
2011-08-22;9.8;7.4;94.2;.9;
2011-08-23;42.4;8.7;95;.6;
2011-08-24;.2;13.4;88.9;.9;
2011-08-25;0;16.1;87.2;.9;
2011-08-26;1;16;89.9;.6;
2011-08-27;0;16.6;85.1;1.3;
2011-08-28;0;18.7;77.9;.9;
2011-08-29;0;19.1;78.7;.6;
2011-08-30;.4;16.7;94.7;.6;
2011-08-31;30.2;12.6;75.2;1.5;
2011-09-01;0;7.2;73.8;.5;
2011-09-02;0;9.4;76.7;1.1;
2011-09-03;0;10.7;76.8;.7;
2011-09-04;.2;12.7;80.6;.4;
2011-09-05;0;17;70.9;1;
2011-09-06;32.8;14.8;95.5;.8;
2011-09-07;52.6;11.8;95;.9;
2011-09-08;4.4;13.7;94.4;1.3;
2011-09-09;57.8;15.3;90.8;.7;
2011-09-10;.2;12.3;89.5;.4;
2011-09-11;.2;13.4;80.1;.8;
2011-09-12;0;13.8;84;.6;
2011-09-13;.2;13.6;79.7;.4;
2011-09-14;0;12.1;78.4;1.1;
2011-09-15;0;12.8;84.2;.9;
2011-09-16;0;16.2;82.7;1.1;
2011-09-17;0;16.7;77.8;1.7;
2011-09-18;0;15.6;78.8;.8;
2011-09-19;0;18.3;77;.7;
2011-09-20;2.8;17;88.3;.9;
2011-09-21;.2;17;71;.9;
2011-09-22;0;17.1;77.9;.8;
2011-09-23;1.6;13.9;94.5;.8;
2011-09-24;11;14.3;82;.9;
2011-09-25;0;12.5;81.7;1.2;
2011-09-26;.2;14.8;72.8;1.2;
2011-09-27;.2;15.3;79;.7;
2011-09-28;0;15.1;74.2;.6;
2011-09-29;.2;18;72;.6;
2011-09-30;0;19.3;72.9;.2;
2011-10-01;0;18.5;79.8;1.3;
2011-10-02;19.8;17.7;86.4;.5;
2011-10-03;.2;18.3;76.4;.7;
2011-10-04;0;15.3;77.5;1.5;
2011-10-05;0;17.1;78.8;.6;
2011-10-06;0;19.6;81.8;.3;
2011-10-07;0;21.1;73.2;1.4;
2011-10-08;0;19.7;78.8;1.3;
2011-10-09;33.2;18.2;92.6;.7;
2011-10-10;5.8;18.4;86.8;.5;
2011-10-11;0;19.2;87.7;.6;
2011-10-12;0;17.8;79.6;1.5;
2011-10-13;24.8;16.1;95.6;.9;
2011-10-14;37.8;20.2;85.8;.3;
2011-10-15;.8;17.8;91.9;.8;
2011-10-16;22.2;16.2;92.5;.7;
2011-10-17;1.6;17.6;75;.9;
2011-10-18;0;15.5;76.5;.9;
2011-10-19;0;15.6;78.3;1;
2011-10-20;0;16.9;68.7;1.2;
2011-10-21;0;15.2;72.8;1.2;
2011-10-22;0;16.3;73.5;.8;
2011-10-23;0;19.2;76.5;.4;
2011-10-24;0;20.3;74.5;1;
2011-10-25;5;17.6;88.6;.9;
2011-10-26;1.8;18.7;72.5;1.4;
2011-10-27;0;17.1;72.9;.6;
2011-10-28;0;18;67;.7;
2011-10-29;0;14.8;94.3;.6;
2011-10-30;49.2;16.1;91.4;.6;
2011-10-31;.8;14.7;75.5;.7;
2011-11-01;0;13.7;73.1;1.2;
2011-11-02;1.8;13;72.7;1;
2011-11-03;0;13.9;73.1;1;
2011-11-04;0;14.8;71.1;.8;
2011-11-05;0;17.9;76.5;.6;
2011-11-06;0;18.1;82.8;.6;
2011-11-07;0;18.5;75;.6;
2011-11-08;0;20.2;70.8;.5;
2011-11-09;0;21;68.3;.9;
2011-11-10;0;20.2;76.9;.9;
2011-11-11;16.2;20;86;.7;
2011-11-12;.2;18.1;88.4;.8;
2011-11-13;0;15.9;90.4;.8;
2011-11-14;15.4;15.3;94;1;
2011-11-15;15;14.2;94.1;1.1;
2011-11-16;13.8;14.4;85.2;.5;
2011-11-17;.2;14.9;78.3;.4;
2011-11-18;0;16.5;74.9;.7;
2011-11-19;0;16.3;69.1;.9;
2011-11-20;0;16.6;72.3;1.2;
2011-11-21;0;17.4;84;1.2;
2011-11-22;8;20.5;74;1.5;
2011-11-23;0;19.7;73.5;.6;
2011-11-24;0;20;78.8;.5;
2011-11-25;0;21.8;73.8;.8;
2011-11-26;0;21.3;75.7;.5;
2011-11-27;.4;19.4;78;.9;
2011-11-28;0;19.9;77.6;.8;
2011-11-29;0;20.8;76.5;.5;
2011-11-30;0;21.8;73.6;1.1;
2011-12-01;0;21;62.4;1.3;
2011-12-02;0;17.3;76;1;
2011-12-03;0;17.8;68.6;1;
2011-12-04;0;18;71.1;1;
2011-12-05;0;20;73.8;1;
2011-12-06;0;20.4;76.2;.6;
2011-12-07;0;21.9;75.4;.7;
2011-12-08;0;21.7;82.2;.4;
2011-12-09;32.4;19.3;92.6;.4;
2011-12-10;16.2;19.1;82.4;.6;
2011-12-11;0;19.6;76.4;.6;
2011-12-12;0;20.8;78.9;.9;
2011-12-13;9.6;18.1;88.5;.5;
2011-12-14;5.8;19;87.4;.8;
2011-12-15;.4;19.5;71.6;.9;
2011-12-16;0;18.1;69.1;.7;
2011-12-17;0;19.1;71.3;.8;
2011-12-18;0;19.7;67.1;.9;
2011-12-19;0;18.8;65.5;.9;
2011-12-20;0;19.7;66.7;.6;
2011-12-21;0;20.6;69.7;.6;
2011-12-22;.4;21.8;72.1;.7;
2011-12-23;0;20.8;82.3;.6;
2011-12-24;11.8;20.6;86.7;.6;
2011-12-25;38.2;18.5;90.9;.8;
2011-12-26;.6;17.4;86.6;.8;
2011-12-27;0;19.6;79.8;.5;
2011-12-28;2.8;20;84.3;.8;
2011-12-29;.2;18.1;78.5;1;
2011-12-30;0;19.7;79.4;1.1;
2011-12-31;36.4;19.1;92.9;.9;
2012-01-01;16.2;18.9;87.5;.5;
2012-01-02;17.4;19.3;81.1;.3;
2012-01-03;0;19;69.7;.7;
2012-01-04;.2;18.8;76.5;.6;
2012-01-05;0;20.1;80.5;.9;
2012-01-06;12.2;19.5;86.4;.8;
2012-01-07;2;20.1;77.7;.8;
2012-01-08;0;20.6;80.2;.8;
2012-01-09;0;20.4;77.9;1.1;
2012-01-10;0;20.3;77.2;.9;
2012-01-11;0;19.4;85.7;.9;
2012-01-12;9;20.8;82.3;1.9;
2012-01-13;.4;19.3;89.2;1.5;
2012-01-14;46.6;20.9;89.4;.5;
2012-01-15;5.4;22;80.8;.6;
2012-01-16;.2;21.2;82.7;.9;
2012-01-17;12.4;20.9;82.2;.8;
2012-01-18;18;20.1;85.8;.8;
2012-01-19;3.4;19.9;82.5;.5;
2012-01-20;.2;20.3;80.8;.5;
2012-01-21;0;20.4;84;.7;
2012-01-22;0;21;84.5;.7;
2012-01-23;0;21.6;85.5;.8;
2012-01-24;18.8;22.1;83.3;1.2;
2012-01-25;27.8;21.2;90.8;.6;
2012-01-26;11.6;17.9;88.4;1.1;
2012-01-27;.4;17.3;83.2;.9;
2012-01-28;0;17;80.1;.5;
2012-01-29;0;19.5;74.7;.6;
2012-01-30;0;20.5;76.8;.5;
2012-01-31;0;20.8;77.7;.4;
2012-02-01;0;21;75.5;.5;
2012-02-02;0;22;76.4;.7;
2012-02-03;0;23.4;74.1;.8;
2012-02-04;1.6;24.3;76.3;.7;
2012-02-05;0;24.4;79.2;.4;
2012-02-06;0;24.7;76;.7;
2012-02-07;0;23.4;79.5;.4;
2012-02-08;.4;22.9;79.5;.5;
2012-02-09;.2;21.9;84.7;.5;
2012-02-10;36.2;20.3;91.7;.5;
2012-02-11;14.2;19.1;82.5;.3;
2012-02-12;0;20.7;80.9;.4;
2012-02-13;0;20.1;79.9;1;
2012-02-14;.4;19.8;88.4;.6;
2012-02-15;5.2;19.9;87.3;.6;
2012-02-16;9.8;21.1;81.4;.6;
