Nome: IBIRUBA
Codigo Estacao: A883
Latitude: -28.65333333
Longitude: -53.11194444
Altitude: 455.27
Situacao: Pane
Data Inicial: 2012-12-12
Data Final: 2025-04-25
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);TEMPERATURA MEDIA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2012-12-12;null;null;null;null;
2012-12-13;null;null;null;null;
2012-12-14;null;22.9;72.8;2.8;
2012-12-15;0;24.5;70.1;1.9;
2012-12-16;0;26.1;70;1.8;
2012-12-17;2.4;24.4;63.3;2.1;
2012-12-18;0;26;61;2.4;
2012-12-19;11.8;22.7;81.6;2.8;
2012-12-20;.6;23.4;80.9;4.2;
2012-12-21;42.2;20.3;87.9;2.6;
2012-12-22;2.8;22.3;73.2;3.8;
2012-12-23;0;24.7;67.8;3.2;
2012-12-24;.2;28.2;65.6;2.3;
2012-12-25;0;29.3;59.6;4.4;
2012-12-26;0;24.3;76;2.8;
2012-12-27;9.4;17.5;90.3;3.6;
2012-12-28;56.8;17.8;87;2.2;
2012-12-29;0;21.6;79.5;1.6;
2012-12-30;0;24.1;76.4;1.9;
2012-12-31;0;25.6;76.8;2.6;
2013-01-01;18.8;20.2;84.1;2.4;
2013-01-02;0;18.2;69.2;1.9;
2013-01-03;0;20.7;70.3;3.2;
2013-01-04;0;23.4;66.6;2.6;
2013-01-05;0;21.5;83;2.8;
2013-01-06;22.8;21;89.9;2;
2013-01-07;0;21;86.9;2.4;
2013-01-08;28;23.1;83.5;1.8;
2013-01-09;0;22.8;76;3.2;
2013-01-10;0;22.5;66.3;3.3;
2013-01-11;0;19.7;69.4;3.9;
2013-01-12;0;20.4;67.2;2.9;
2013-01-13;0;22.1;67.1;2.4;
2013-01-14;0;23.2;70.6;2.9;
2013-01-15;0;21.7;78.3;3.1;
2013-01-16;1.8;22.7;73;2.2;
2013-01-17;0;23.2;72.6;2.1;
2013-01-18;.8;22.5;76;2;
2013-01-19;0;21.4;70.6;2;
2013-01-20;0;19.9;73.5;3.2;
2013-01-21;0;21.3;68.5;4.2;
2013-01-22;0;22.4;62.5;3.2;
2013-01-23;0;23.7;63.6;2.4;
2013-01-24;0;24.6;66.2;2.5;
2013-01-25;2.4;21.9;78.5;2.2;
2013-01-26;0;18.6;62.2;2.1;
2013-01-27;0;20;60.3;2;
2013-01-28;0;22.9;64.4;2.6;
2013-01-29;0;25.4;61.8;2.7;
2013-01-30;.4;26;56.7;2.4;
2013-01-31;0;26.7;57.1;2.2;
2013-02-01;0;27.8;55.9;2.5;
2013-02-02;1.4;23.7;74.4;2.2;
2013-02-03;2.6;20.4;82.8;2;
2013-02-04;8.2;19.5;67.6;2.3;
2013-02-05;0;20.5;68.8;2.8;
2013-02-06;0;20.7;77.4;3.4;
2013-02-07;1;21;77.5;3.3;
2013-02-08;4.4;21.4;77.1;2.6;
2013-02-09;0;21.4;82.4;2.4;
2013-02-10;5;22;79.3;2.6;
2013-02-11;0;22;81.9;2.6;
2013-02-12;.2;23.4;78.9;1.8;
2013-02-13;0;24.6;74.3;1.9;
2013-02-14;6.6;21.9;88.6;2.2;
2013-02-15;29.8;23.4;83;1.5;
2013-02-16;0;25;75.9;1.4;
2013-02-17;0;24.6;77.6;2.6;
2013-02-18;44.2;21.4;89.4;2;
2013-02-19;7.6;23.4;83;1.8;
2013-02-20;0;23.8;83.7;2.2;
2013-02-21;.2;23.4;83.3;3;
2013-02-22;0;21.2;77.2;2.8;
2013-02-23;0;21.7;73.3;3.1;
2013-02-24;0;24.6;70.5;2.4;
2013-02-25;15.2;23;84.5;1.9;
2013-02-26;.4;19.4;77.4;1.9;
2013-02-27;0;18;62.8;1.5;
2013-02-28;0;19.4;68.5;2.2;
2013-03-01;0;23;71.5;2.8;
2013-03-02;0;23.6;70.6;3.1;
2013-03-03;0;21.7;86.9;1.4;
2013-03-04;13.2;19.9;86.5;1.7;
2013-03-05;18.6;17.3;79.2;1.2;
2013-03-06;0;17.5;76.6;1.3;
2013-03-07;0;20.8;73.9;2.1;
2013-03-08;0;20.1;91.6;2.4;
2013-03-09;46;20.4;89.2;2.8;
2013-03-10;8.6;20.1;89.5;2.4;
2013-03-11;1;21.3;83.5;1.3;
2013-03-12;2.8;19.8;90.7;2.4;
2013-03-13;26.8;18.2;86.5;2.1;
2013-03-14;0;17.2;79.7;3.4;
2013-03-15;.4;18.2;84.6;3.3;
2013-03-16;0;17.8;83.8;2.7;
2013-03-17;0;16.5;76.1;4.5;
2013-03-18;0;17.9;69.1;4.8;
2013-03-19;0;18;80.8;3.9;
2013-03-20;48;17.1;90.4;3.9;
2013-03-21;4.8;19;81.5;2.7;
2013-03-22;.2;18.7;76.1;1.3;
2013-03-23;0;18.7;65.7;2.3;
2013-03-24;0;18.4;78.8;2.7;
2013-03-25;0;19.9;74.2;2;
2013-03-26;0;19.4;76.8;1.6;
2013-03-27;1.6;null;89.2;null;
2013-03-28;null;null;null;null;
2013-03-29;0;19.7;69.3;2.9;
2013-03-30;0;21;65;2.6;
2013-03-31;0;22.1;60.4;2.3;
2013-04-01;0;20.3;76.8;2.8;
2013-04-02;39.2;21;81;2.7;
2013-04-03;0;22.5;75.3;2;
2013-04-04;.4;20.6;91.7;1.9;
2013-04-05;34.4;18.9;76.6;3;
2013-04-06;0;19.9;64.6;1.8;
2013-04-07;0;20;67.5;1.6;
2013-04-08;0;18.9;77.4;2.3;
2013-04-09;0;19.2;77.6;2.5;
2013-04-10;0;20.7;70.8;3.3;
2013-04-11;0;22.6;68;3.5;
2013-04-12;42;19;89.8;2.4;
2013-04-13;3.8;15.9;74.1;2;
2013-04-14;null;null;54.7;null;
2013-04-15;null;null;54.1;null;
2013-04-16;0;16.4;65.8;1.8;
2013-04-17;null;null;61.4;1.9;
2013-04-18;null;null;65.4;1.9;
2013-04-19;.2;17.8;64.7;2.1;
2013-04-20;0;18;61;2.4;
2013-04-21;0;18.6;67.5;2.8;
2013-04-22;0;18.4;66.5;3;
2013-04-23;0;18.2;66.4;2.4;
2013-04-24;0;18.5;62.6;2;
2013-04-25;0;18.9;64.8;1.7;
2013-04-26;0;19.4;63.6;1.6;
2013-04-27;0;20.2;68.7;2.1;
2013-04-28;0;22.5;69;2.3;
2013-04-29;12.4;19.7;85.3;2.2;
2013-04-30;2.4;19.7;85;1.1;
2013-05-01;0;21.5;80.8;2.5;
2013-05-02;0;23.6;71;2.8;
2013-05-03;0;23.1;71.6;3.3;
2013-05-04;7.4;18.6;86.7;1.6;
2013-05-05;0;15.8;80.9;1.8;
2013-05-06;null;null;73.2;1.4;
2013-05-07;0;12.9;64.5;2.9;
2013-05-08;null;null;null;null;
2013-05-09;null;null;38.3;null;
2013-05-10;null;18.2;37.9;2.6;
2013-05-11;0;18.4;52;2.3;
2013-05-12;0;15.8;75.6;1.8;
2013-05-13;.2;18.3;81.3;2.4;
2013-05-14;0;18.8;86.9;2;
2013-05-15;2;18;92.2;2.1;
2013-05-16;null;null;72.8;null;
2013-05-17;null;null;null;null;
2013-05-18;null;null;85.4;null;
2013-05-19;2;16;93.1;2.2;
2013-05-20;49.8;15.7;93;1.9;
2013-05-21;.2;14.1;87.1;1.2;
2013-05-22;0;13.2;89.5;1.6;
2013-05-23;0;12.9;84;2.7;
2013-05-24;0;12.9;93.1;1.4;
2013-05-25;0;13.1;85;1.3;
2013-05-26;null;null;70.8;2.2;
2013-05-27;0;16.1;76.3;2.1;
2013-05-28;0;16.1;89.4;2.9;
2013-05-29;7.6;17.1;85.8;3.3;
2013-05-30;null;null;62.9;null;
2013-05-31;null;null;51.9;null;
2013-06-01;1.6;14.1;90.5;2.2;
2013-06-02;3.2;15.5;91;1.3;
2013-06-03;null;null;80.1;1.2;
2013-06-04;null;null;58.7;null;
2013-06-05;null;null;76.3;2.3;
2013-06-06;.2;16;81;2.7;
2013-06-07;null;null;69.9;null;
2013-06-08;null;null;85.1;1.4;
2013-06-09;null;15.6;81.2;2.7;
2013-06-10;2.6;16.8;88.1;1.3;
2013-06-11;.4;14.3;92.2;1.5;
2013-06-12;.6;14.5;85.3;1.3;
2013-06-13;null;null;71;1.2;
2013-06-14;null;null;75.9;null;
2013-06-15;0;15;81;3.5;
