Nome: CAMPO BOM
Codigo Estacao: A884
Latitude: -29.674293
Longitude: -51.064042
Altitude: 23.35
Situacao: Operante
Data Inicial: 2013-11-28
Data Final: 2025-04-25
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);TEMPERATURA MEDIA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2013-11-28;null;null;null;null;
2013-11-29;null;null;null;null;
2013-11-30;null;null;null;null;
2013-12-01;null;null;null;null;
2013-12-02;null;null;null;null;
2013-12-03;null;23.4;74.1;1.8;
2013-12-04;0;24.1;58.8;1.6;
2013-12-05;84.2;22.9;82.5;1.4;
2013-12-06;0;20;70.2;1.7;
2013-12-07;0;21;66.6;1.3;
2013-12-08;0;24.6;64.5;1.1;
2013-12-09;0;24.9;78.1;1;
2013-12-10;5.6;22.1;87.5;1.4;
2013-12-11;15.8;21.1;70.7;2.2;
2013-12-12;0;21.6;68;1.7;
2013-12-13;0;23.3;69.3;1.1;
2013-12-14;0;25.8;66.8;1.3;
2013-12-15;0;26;67.3;1.2;
2013-12-16;0;24.7;73.1;1.5;
2013-12-17;0;24.5;66.6;1.8;
2013-12-18;0;25.1;62;1.6;
2013-12-19;0;25.3;64.6;1.9;
2013-12-20;0;25.4;65.4;1.8;
2013-12-21;0;24.9;68.1;1.8;
2013-12-22;0;24.1;69.2;2.3;
2013-12-23;0;23.4;76.2;1.7;
2013-12-24;0;25.1;72.7;1.7;
2013-12-25;0;26.9;67.6;1.4;
2013-12-26;0;29.4;58.1;1.3;
2013-12-27;0;29.5;57.9;1.4;
2013-12-28;4;28.6;66.2;1.4;
2013-12-29;0;30.8;56.9;1.4;
2013-12-30;11.2;28.1;71.5;1.7;
2013-12-31;.4;26.9;74.7;1.5;
2014-01-01;11;27.1;75.7;1.4;
2014-01-02;1.4;27.9;72.9;1.5;
2014-01-03;9.4;22.1;90.6;1.3;
2014-01-04;20.8;22.4;69.8;1.8;
2014-01-05;0;24.5;63.3;1.4;
2014-01-06;0;25.9;65.1;1.5;
2014-01-07;0;29.3;55.9;1.3;
2014-01-08;0;28.3;58.3;2;
2014-01-09;0;26.5;70.9;1.6;
2014-01-10;0;26.2;76.2;1.2;
2014-01-11;26.2;23.4;82.9;1.1;
2014-01-12;6.4;22.2;87.6;1.5;
2014-01-13;0;24.8;77.1;1.5;
2014-01-14;0;24.8;80.3;1;
2014-01-15;14.2;23.1;86.2;.9;
2014-01-16;3.2;25;72.7;1.3;
2014-01-17;0;25.9;68.9;1.3;
2014-01-18;0;26.2;67.5;1;
2014-01-19;0;28.3;60.3;1.2;
2014-01-20;0;29.7;54.7;1.4;
2014-01-21;0;29.8;42.6;1.4;
2014-01-22;0;29.1;61.2;1.3;
2014-01-23;8.4;30.5;64.3;1.3;
2014-01-24;0;30.9;60;1.9;
2014-01-25;26.6;21.6;86.6;1.6;
2014-01-26;6.4;23.2;81;1.3;
2014-01-27;2.4;28;71.8;1.2;
2014-01-28;0;29.4;66.2;1.5;
2014-01-29;.6;30.3;62.5;1.8;
2014-01-30;0;28.7;63;1.8;
2014-01-31;0;26.4;73.3;1.4;
2014-02-01;28.8;26.2;74.4;1.5;
2014-02-02;6.8;28.9;65.6;1.4;
2014-02-03;0;30.9;60.5;1.7;
2014-02-04;0;29.6;57.9;1.4;
2014-02-05;0;31.5;56.9;1.3;
2014-02-06;0;32.4;53.3;1.5;
2014-02-07;0;31.8;57;1.5;
2014-02-08;0;28.5;69.5;2;
2014-02-09;2;29.7;59.4;1.5;
2014-02-10;15.4;27.5;73.5;1.6;
2014-02-11;0;29.6;62.1;1.4;
2014-02-12;0;28.9;69.8;1.8;
2014-02-13;82.8;23.5;86.5;1.6;
2014-02-14;24.4;21.1;82.3;2.4;
2014-02-15;.4;22.3;65.5;2.8;
2014-02-16;0;22.7;69.3;2.1;
2014-02-17;0;23.9;69.1;2.2;
2014-02-18;0;24.2;67.9;2.3;
2014-02-19;0;26.2;62.5;1.5;
2014-02-20;0;24.4;70.4;1;
2014-02-21;1.2;25.2;80.4;1.3;
2014-02-22;9.6;25.2;79.2;1.1;
2014-02-23;4;24.2;82.7;1.4;
2014-02-24;2.6;25.4;77;1.3;
