Nome: TUPANCIRETA
Codigo Estacao: A886
Latitude: -29.08944444
Longitude: -53.82666666
Altitude: 462
Situacao: Operante
Data Inicial: 2016-08-10
Data Final: 2025-04-25
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);TEMPERATURA MEDIA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2016-08-10;null;null;null;null;
2016-08-11;null;null;null;null;
2016-08-12;1.2;13;72.8;1.7;
2016-08-13;0;14.5;67.2;1.5;
2016-08-14;0;17.2;66;1.3;
2016-08-15;0;17.9;79.8;2.1;
2016-08-16;0;19;81.3;2.2;
2016-08-17;9.4;16.1;81.3;2.2;
2016-08-18;2.4;12.5;50.2;2.5;
2016-08-19;0;13.4;61;3.5;
2016-08-20;.6;12.9;92.3;2.4;
2016-08-21;1.6;9;75.5;2.5;
2016-08-22;.2;8.1;65.9;1.3;
2016-08-23;0;11.4;57.2;1.3;
2016-08-24;0;15;62.1;2.2;
2016-08-25;0;17.8;66.3;2;
2016-08-26;0;21.6;67.2;2.3;
2016-08-27;0;23.5;71;2.7;
2016-08-28;0;17.8;82.9;2.4;
2016-08-29;36.8;17.2;96.1;1.7;
2016-08-30;27.8;15.3;94.7;1.8;
2016-08-31;6.4;14.6;88.7;2.4;
2016-09-01;1;14;84;1.1;
2016-09-02;0;13.4;85.6;2.5;
2016-09-03;0;10.8;93.7;2.6;
2016-09-04;16.2;12.3;93;1.9;
2016-09-05;1;13.5;95.1;1.6;
2016-09-06;24.6;9.3;83.9;3.9;
2016-09-07;0;10.6;73.4;3.8;
2016-09-08;0;13.2;76.8;1.5;
2016-09-09;0;14.9;71.4;1.5;
2016-09-10;0;18.4;66.7;1.8;
2016-09-11;0;20.4;64.3;1.7;
2016-09-12;0;21.5;67.3;2.7;
2016-09-13;14.6;18.5;66.5;3.7;
2016-09-14;0;12.4;66.8;4.2;
2016-09-15;0;10.9;71.3;1.5;
2016-09-16;0;14.5;63.1;1.7;
2016-09-17;0;18.7;65.3;2.1;
2016-09-18;.4;18.3;79.8;1.7;
