Nome: CAPAO DO LEAO (PELOTAS)
Codigo Estacao: A887
Latitude: -31.8025
Longitude: -52.40722222
Altitude: 13
Situacao: Pane
Data Inicial: 2019-07-17
Data Final: 2025-04-25
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);TEMPERATURA MEDIA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2019-07-17;null;null;null;null;
2019-07-18;null;null;null;null;
2019-07-19;null;14;85.8;1.2;
2019-07-20;0;17.8;81.3;2;
2019-07-21;0;18.8;79.3;3.2;
2019-07-22;0;17.3;87.8;3.1;
2019-07-23;42.2;15.1;97.9;2;
2019-07-24;19.8;13.7;95.8;2.9;
2019-07-25;25.4;14.3;93.7;4.1;
2019-07-26;34.2;15.4;84.8;3.7;
2019-07-27;.6;12.2;79.8;3.4;
2019-07-28;0;10.2;88.6;2.1;
2019-07-29;0;14.3;91.6;1.8;
2019-07-30;2.6;14.8;84.3;3;
2019-07-31;0;13.4;80.2;2.3;
2019-08-01;0;13.8;90.5;3.3;
2019-08-02;21.8;11.3;61.5;4.7;
2019-08-03;0;10;65.6;5.1;
2019-08-04;0;8.1;73.8;2.1;
2019-08-05;0;9.8;82.4;2.5;
2019-08-06;0;14.4;82.8;2.6;
2019-08-07;0;18.3;80.5;1.8;
2019-08-08;0;14.6;94.6;3.1;
2019-08-09;26.8;15.8;96.8;2.6;
2019-08-10;18.4;14.2;85.4;3.8;
2019-08-11;0;11.2;84.4;2.7;
2019-08-12;null;null;89;null;
2019-08-13;1.2;8.8;70.2;6.5;
2019-08-14;0;7.4;78;3.3;
2019-08-15;0;10.9;83.4;2.6;
2019-08-16;0;13.3;84.8;2;
2019-08-17;0;20.4;82.3;3.1;
2019-08-18;0;11.7;78.8;5.1;
2019-08-19;0;8.2;73.8;3.8;
2019-08-20;0;8.1;79.6;3;
2019-08-21;0;9.6;81.2;2.5;
2019-08-22;0;8.5;92.2;1.9;
2019-08-23;0;10.9;93.6;2.8;
2019-08-24;0;10.8;90.4;2.2;
2019-08-25;0;15.4;77.9;5.8;
2019-08-26;0;15.7;86.3;2.2;
2019-08-27;1.2;14.9;90.3;1.8;
2019-08-28;0;15.8;92;3;
2019-08-29;0;22.1;71.7;2.6;
2019-08-30;0;16.6;92.8;3.1;
2019-08-31;30.4;14.8;86;3.3;
2019-09-01;.2;12.6;71.7;2.5;
2019-09-02;0;11;76.4;1.6;
2019-09-03;0;10.4;69.8;2.8;
2019-09-04;0;8.8;59.5;4.1;
2019-09-05;0;8.7;76.8;2.9;
2019-09-06;0;14.1;85.4;5.7;
2019-09-07;8;16.2;95.1;4.2;
2019-09-08;32.8;18.2;null;2.9;
2019-09-09;16.4;21.1;null;3.8;
2019-09-10;5.8;14.8;94.1;2.9;
2019-09-11;39.4;14.7;97.1;3;
2019-09-12;30.2;15.5;94.6;3.6;
2019-09-13;0;13.3;91.2;2;
2019-09-14;0;14.8;null;4.3;
2019-09-15;0;19.1;null;2.7;
2019-09-16;.6;16.2;null;3.5;
2019-09-17;8.8;13.7;null;2.6;
2019-09-18;0;14.2;null;2.7;
2019-09-19;0;15.3;null;2.6;
2019-09-20;0;12.9;null;3.5;
2019-09-21;0;11.3;82.3;1.5;
2019-09-22;0;12.7;null;3.5;
2019-09-23;0;11.4;null;2.8;
2019-09-24;0;15.3;null;2;
2019-09-25;0;16;null;1.8;
2019-09-26;0;18.1;null;2.7;
2019-09-27;0;14.8;null;3.5;
2019-09-28;0;16.3;null;5;
2019-09-29;0;18.5;null;3.8;
2019-09-30;0;21;null;5.4;
2019-10-01;0;21.5;null;3.6;
2019-10-02;18.4;18.9;null;4.5;
2019-10-03;9.8;16.6;null;4.2;
2019-10-04;24.8;17.3;null;4.3;
2019-10-05;7.2;16.3;null;4.7;
2019-10-06;.2;15.2;null;2.8;
2019-10-07;0;16.9;null;2.5;
2019-10-08;0;18.5;null;2.2;
2019-10-09;0;18.9;null;2.5;
2019-10-10;0;21.9;null;2.4;
2019-10-11;0;23.2;null;2.9;
2019-10-12;0;21.8;null;3.8;
2019-10-13;0;20.4;null;3.9;
2019-10-14;21.4;14.3;null;4;
2019-10-15;10.6;15.5;null;4.9;
2019-10-16;1.8;16.5;null;6.2;
2019-10-17;30;18;null;5.6;
2019-10-18;20.2;20.1;null;4.1;
2019-10-19;0;15.8;null;3.6;
2019-10-20;0;15.4;null;2.7;
2019-10-21;1.6;15.7;null;3;
2019-10-22;8.4;16.1;null;2.9;
2019-10-23;0;19;null;2.1;
2019-10-24;0;19.2;null;2.8;
2019-10-25;0;18.7;null;1.6;
2019-10-26;0;20.6;null;3.3;
2019-10-27;12.8;21.4;null;2.9;
2019-10-28;.2;22.3;null;2.9;
