Nome: ENCRUZILHADA DO SUL
Codigo Estacao: A893
Latitude: -30.54305555
Longitude: -52.52472221
Altitude: 427.75
Situacao: Operante
Data Inicial: 2018-03-14
Data Final: 2025-04-25
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);TEMPERATURA MEDIA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2018-03-14;null;null;null;null;
2018-03-15;null;null;null;null;
2018-03-16;null;18.6;63.3;2.3;
2018-03-17;0;21.3;73.5;2.1;
2018-03-18;0;24.7;72.8;3.3;
2018-03-19;27;19.6;69.8;3.5;
2018-03-20;0;17.6;77.7;1.8;
2018-03-21;0;17.6;71.9;2.5;
2018-03-22;0;18;68.7;1.8;
2018-03-23;0;21.9;68.9;1.9;
2018-03-24;0;20.4;89.9;3.2;
2018-03-25;49.4;18.3;86.6;4;
2018-03-26;.2;15.2;76.1;4.4;
2018-03-27;0;18.3;91;2.7;
2018-03-28;.6;20.8;86.1;1.8;
2018-03-29;0;20.7;89.8;1.8;
2018-03-30;3.6;21.8;83.5;2.4;
2018-03-31;0;20.4;92.9;2;
2018-04-01;2.8;19.9;92.3;2;
2018-04-02;104.4;18.6;93;4.7;
2018-04-03;1.4;19.5;87.1;1.4;
2018-04-04;64.2;19.2;88;1;
2018-04-05;7.4;19.6;81.7;1;
2018-04-06;0;19.9;76;1.2;
2018-04-07;0;21.7;74.1;1.8;
2018-04-08;0;23.2;64.9;1.5;
2018-04-09;0;22.4;74.2;1.8;
2018-04-10;0;22.3;75.3;2.4;
2018-04-11;0;24.1;70.5;3.2;
2018-04-12;0;25;70.1;3.1;
2018-04-13;6.2;16.8;87.7;4.9;
2018-04-14;0;16.8;73.6;2.7;
2018-04-15;0;18.5;78.4;2.4;
2018-04-16;0;18.7;78.4;2.6;
2018-04-17;0;19.3;68.4;2.7;
2018-04-18;0;21.3;68.4;1.8;
2018-04-19;0;23.2;63.7;2;
2018-04-20;0;24;62.9;1.9;
2018-04-21;3.8;18.4;95.4;2.6;
2018-04-22;18.2;21.2;84.2;1.8;
2018-04-23;0;21.7;85.1;2.2;
2018-04-24;.2;20.7;90.8;2;
2018-04-25;.2;21.2;90.2;1.1;
2018-04-26;.2;21.4;86.8;1.5;
2018-04-27;0;21.4;84;1.8;
2018-04-28;0;24;71.6;.9;
2018-04-29;0;23.7;74.8;1.9;
2018-04-30;38;20.4;89.3;2.5;
2018-05-01;5.4;16.6;92.8;2.9;
2018-05-02;1.2;17.4;89.7;2.6;
2018-05-03;9.8;18.7;90.2;2.1;
2018-05-04;0;18.6;92.5;1.3;
2018-05-05;1.8;19.2;89.5;2.3;
2018-05-06;0;19.1;88.4;2.5;
2018-05-07;0;18.4;84.8;2.6;
2018-05-08;.2;18.7;80.1;2.3;
2018-05-09;0;18.9;82.2;2.8;
2018-05-10;0;20.3;80;2.4;
2018-05-11;10;17.8;88.2;4.6;
2018-05-12;.4;15.7;78.7;2.7;
2018-05-13;0;14.4;67;1.8;
2018-05-14;0;15.9;74.7;2.7;
2018-05-15;0;17.2;84.7;1.3;
2018-05-16;0;14.1;68.7;2.6;
2018-05-17;0;12.5;73.6;2.4;
2018-05-18;1.8;12.1;91.8;4;
2018-05-19;14.2;10.5;95.3;4.6;
2018-05-20;11.6;10;90.2;3.6;
2018-05-21;.2;11;86.5;2.1;
2018-05-22;0;11.1;76.8;2.2;
2018-05-23;0;10;66.5;1.9;
2018-05-24;0;11.3;63.7;1.3;
2018-05-25;0;12.1;71.6;1.2;
2018-05-26;0;14.6;80.5;1.8;
2018-05-27;0;18.3;75.2;2.9;
2018-05-28;0;20.1;73.2;3.1;
2018-05-29;0;18.2;70;2.8;
2018-05-30;0;18;69.8;3;
2018-05-31;0;17.5;77.9;2.3;
2018-06-01;4.4;15.3;97.7;2.4;
2018-06-02;6.4;9.9;84.5;4.6;
2018-06-03;0;8.6;86.3;3;
2018-06-04;.4;12.3;85.1;2.1;
2018-06-05;2;11.8;94;1.8;
2018-06-06;4;9;82.7;2.2;
2018-06-07;0;8.2;72.7;2.3;
2018-06-08;0;8.7;71.8;2.7;
2018-06-09;0;12.1;65.9;2.2;
2018-06-10;0;16.9;69.8;3.6;
2018-06-11;43.8;19.7;88.4;3.7;
2018-06-12;18.8;14.3;92.6;3.1;
2018-06-13;.6;7.6;77.4;4.5;
2018-06-14;0;5.4;81.8;2.3;
2018-06-15;0;4.6;77.8;1.8;
2018-06-16;0;5.8;71;1.9;
2018-06-17;0;7.6;76.4;.9;
2018-06-18;.2;7.3;94.3;1.3;
2018-06-19;.2;10.2;93.2;1.9;
2018-06-20;.2;16.2;70.3;2.2;
2018-06-21;0;null;76.2;null;
2018-06-22;null;10.2;66.9;2.4;
2018-06-23;0;14.1;86.2;3.4;
2018-06-24;23.4;8.5;87.5;3.6;
2018-06-25;1.4;8.2;92;2.6;
2018-06-26;1.2;10.1;85.1;1.2;
2018-06-27;0;11.3;77.5;1.1;
2018-06-28;0;13.9;94.8;1.9;
2018-06-29;10.6;14.7;98;2.6;
2018-06-30;5.6;14.9;91;1.4;
2018-07-01;.2;14.8;93.9;2.3;
2018-07-02;2.2;15.8;95.1;2.8;
2018-07-03;54.8;7.8;81.2;4.4;
2018-07-04;0;5.6;84.9;2.9;
2018-07-05;1.2;8.2;97.2;2;
2018-07-06;2;11.2;96.4;3;
2018-07-07;1.8;13.6;98.6;2.5;
2018-07-08;9;10.6;91.8;3.5;
2018-07-09;6.8;8.6;95.4;5.5;
2018-07-10;.8;9;88.9;3.9;
2018-07-11;.2;9.1;93.9;1.4;
2018-07-12;0;9.2;null;1.4;
2018-07-13;.2;11.7;null;1.6;
2018-07-14;0;15.4;null;2.3;
2018-07-15;0;19.2;null;2.8;
2018-07-16;0;11.7;null;4.9;
2018-07-17;12.8;15.2;null;3.5;
2018-07-18;28.4;19.4;null;2.6;
2018-07-19;0;20.1;null;2.9;
2018-07-20;0;16.3;null;4.1;
2018-07-21;15.8;7.2;null;4.3;
2018-07-22;0;9.7;null;2;
2018-07-23;1.6;9.2;null;4;
2018-07-24;.8;8.2;null;4.4;
2018-07-25;29.6;12.1;null;3.5;
2018-07-26;27.6;12.6;null;3;
2018-07-27;2.4;8.5;null;1.4;
2018-07-28;0;11.9;null;2.4;
2018-07-29;15.6;9.4;null;4.6;
2018-07-30;0;10.8;null;1.5;
2018-07-31;.2;8.5;null;2.4;
2018-08-01;0;6.9;null;2.9;
2018-08-02;.2;10.6;null;2.4;
2018-08-03;0;14.1;null;1.9;
2018-08-04;0;14.3;null;2.1;
2018-08-05;0;11.2;null;2.6;
2018-08-06;0;12.4;null;1;
2018-08-07;0;14.7;null;2.9;
2018-08-08;5.2;12.9;null;3.3;
2018-08-09;13;8;null;5.4;
2018-08-10;6;6.4;null;4;
2018-08-11;.4;10.6;null;2.2;
