Nome: SERAFINA CORREA
Codigo Estacao: A894
Latitude: -28.70472222
Longitude: -51.87083332
Altitude: 485.29
Situacao: Operante
Data Inicial: 2016-03-31
Data Final: 2025-04-25
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);TEMPERATURA MEDIA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2016-03-31;null;null;null;null;
2016-04-01;null;null;null;null;
2016-04-02;null;null;null;null;
2016-04-03;null;null;null;null;
2016-04-04;null;null;null;null;
2016-04-05;null;null;null;null;
2016-04-06;null;null;null;null;
2016-04-07;null;null;null;null;
2016-04-08;null;null;null;null;
2016-04-09;7.4;21.6;86.4;.9;
2016-04-10;2.8;21.8;90.3;1.1;
2016-04-11;20.6;20.7;92.5;.7;
2016-04-12;5.6;21.1;88.4;1.1;
2016-04-13;0;21.4;87.2;1.3;
2016-04-14;17.2;21.3;84.4;1.3;
2016-04-15;.2;23.3;76.3;1.1;
2016-04-16;0;25.3;73;1.4;
2016-04-17;0;25.2;75.1;1.1;
2016-04-18;0;23.9;79.2;.9;
2016-04-19;0;23.9;71.5;1.8;
2016-04-20;0;24.2;71.1;1.4;
2016-04-21;0;22.1;82.1;1.6;
2016-04-22;1.8;19.7;90.3;.9;
2016-04-23;2.4;21.6;89.1;1.1;
2016-04-24;1.8;23;79.3;1.4;
2016-04-25;53.8;20.3;87.2;2;
2016-04-26;26.4;12.4;92.1;1.5;
2016-04-27;19.6;8.7;79.2;1.6;
2016-04-28;0;7.2;75.3;1;
2016-04-29;.2;6.2;87;.9;
2016-04-30;0;7.8;79.2;1;
2016-05-01;0;7.8;83.9;.7;
2016-05-02;0;10.5;85.5;.8;
2016-05-03;0;13.7;84;.9;
2016-05-04;0;13.3;84;.9;
2016-05-05;0;12.7;89.4;.9;
2016-05-06;0;12.9;91.8;1.1;
2016-05-07;0;15;89.3;1;
2016-05-08;0;17.4;85;.9;
2016-05-09;.6;17.7;87.7;.7;
2016-05-10;0;17.6;88.5;.9;
2016-05-11;.4;16.3;85.8;1.2;
2016-05-12;0;12.2;90.8;1.3;
2016-05-13;0;11.9;92.2;1.1;
2016-05-14;0;15.7;83.5;.8;
2016-05-15;0;17.1;80.2;2.7;
2016-05-16;23.2;13.6;79.2;2.3;
2016-05-17;.2;8.9;78;1.3;
2016-05-18;0;6.1;86.7;.9;
2016-05-19;0;6.6;86.3;.8;
2016-05-20;0;9.3;95.8;.7;
2016-05-21;5;12.2;92.1;1.1;
2016-05-22;2.4;11.8;94.4;.8;
2016-05-23;3.6;9.8;80.4;1.3;
2016-05-24;.2;8.7;85;.8;
2016-05-25;0;11.5;83.4;1.1;
2016-05-26;1.2;14.7;88.8;.6;
2016-05-27;0;14.2;91.8;1.2;
2016-05-28;0;15.4;87.6;1;
2016-05-29;1.2;16.3;90;1;
2016-05-30;8.4;14.7;86.9;1.5;
2016-05-31;0;12.8;84.3;1.2;
2016-06-01;0;9.8;90.6;.8;
2016-06-02;0;10.8;80;.9;
2016-06-03;0;7.7;85.8;1.3;
2016-06-04;0;7.1;92;.8;
2016-06-05;0;8.4;85.6;1;
2016-06-06;0;6.6;87.8;.8;
2016-06-07;0;5.5;87.4;1.3;
2016-06-08;0;6.4;75.6;1.6;
2016-06-09;0;3.6;74.3;.7;
2016-06-10;0;4.2;79.5;1.7;
2016-06-11;0;1.9;80.3;1.2;
2016-06-12;0;2.8;75.7;.8;
2016-06-13;0;4.4;76;.8;
2016-06-14;0;10;71.3;1.2;
2016-06-15;0;11.7;77;.7;
2016-06-16;0;14.3;84.7;.8;
2016-06-17;10.4;12;93.5;1;
2016-06-18;0;8;86.5;1;
2016-06-19;.2;6.3;87.4;1.1;
2016-06-20;0;5.1;88;1;
2016-06-21;0;8;77.7;1.5;
2016-06-22;.4;12.4;84.9;.8;
2016-06-23;0;13.1;86;.9;
2016-06-24;0;12;84.5;.8;
2016-06-25;0;12.7;80.8;1;
2016-06-26;0;14.8;77.5;.7;
2016-06-27;0;13.1;81;.7;
2016-06-28;0;13.5;84.8;.7;
2016-06-29;0;14.4;83.5;.6;
2016-06-30;0;14.5;85.7;.7;
2016-07-01;0;16;77.7;1;
2016-07-02;0;14.6;79.4;.7;
2016-07-03;0;16.1;76.9;.9;
2016-07-04;0;17.1;74.9;1.2;
2016-07-05;0;17.7;73.9;1.5;
2016-07-06;24.8;14.1;76.5;3.6;
2016-07-07;0;10.8;74.8;2.4;
2016-07-08;0;9;82.5;.6;
2016-07-09;.2;10.3;92.5;1.1;
2016-07-10;6.6;16.3;85.3;.7;
2016-07-11;12;15.2;94.4;1.1;
2016-07-12;35.4;16.6;84.9;1.5;
2016-07-13;0;14.8;86.8;1;
2016-07-14;38.8;15.8;94.9;1.1;
2016-07-15;38.6;16.1;83.3;1.3;
2016-07-16;0;11.1;74.7;2.5;
2016-07-17;0;5.8;67.6;2.3;
2016-07-18;0;3;89.5;.9;
2016-07-19;0;5.6;86.1;1.2;
2016-07-20;0;5.3;79.8;.9;
2016-07-21;0;4.2;95.1;1;
2016-07-22;0;9.6;81.8;1.2;
2016-07-23;0;10;80.5;1.1;
2016-07-24;0;13.7;80.5;.6;
2016-07-25;0;15.9;79.6;.8;
2016-07-26;1.4;17.2;77;2.8;
2016-07-27;12.8;9.4;75.8;2.7;
2016-07-28;0;6.5;89.1;1.1;
2016-07-29;0;9.4;85.2;.7;
2016-07-30;0;15.3;79;.9;
2016-07-31;0;16.6;73.4;1.2;
2016-08-01;0;17.3;77;1.3;
2016-08-02;.6;12.8;77.8;1.6;
2016-08-03;1;14.2;82.3;.9;
2016-08-04;.2;18;77;1.5;
2016-08-05;0;18.1;76;1.1;
2016-08-06;0;16.6;84.7;1.1;
2016-08-07;13.6;12.7;82.5;1.4;
2016-08-08;0;11.5;79.4;1;
2016-08-09;0;11;83.9;.7;
2016-08-10;0;9.3;87.1;1;
2016-08-11;0;9.5;81.2;1;
2016-08-12;0;10.9;79.8;.8;
2016-08-13;0;12.4;75.8;1.1;
2016-08-14;.2;13.7;75.4;.8;
2016-08-15;4.8;16.5;81.8;1.7;
2016-08-16;.2;16.1;85.5;1.2;
2016-08-17;3.4;17;83.8;1.7;
2016-08-18;8.8;11.9;77.7;1.3;
2016-08-19;0;12.4;84;1.2;
2016-08-20;22;12.9;95.2;1.3;
2016-08-21;42.2;9.4;83.9;1.9;
2016-08-22;.8;6.7;79.6;1.1;
2016-08-23;0;8.3;74.6;.6;
2016-08-24;0;11.8;70.1;1.1;
2016-08-25;0;14.8;74.9;1;
2016-08-26;0;17.8;77.1;.7;
2016-08-27;0;20.2;74.4;1.2;
2016-08-28;0;17.7;75.5;1;
2016-08-29;12;17.3;93.4;.8;
2016-08-30;12.2;17.6;88.7;1.6;
2016-08-31;7.4;15;83.9;2.3;
2016-09-01;.2;14.6;86.6;.9;
2016-09-02;0;15.1;84.3;1.3;
2016-09-03;0;12.7;94.9;1.2;
2016-09-04;10;13.2;94.6;1.1;
2016-09-05;.8;16;88.9;1.1;
2016-09-06;31;11.4;78.8;3.6;
2016-09-07;0;10.6;70.5;4;
2016-09-08;0;12.5;78.1;1.5;
2016-09-09;0;12.3;79.5;.8;
2016-09-10;.2;15.1;74.3;.7;
2016-09-11;0;16.3;71.7;.8;
2016-09-12;0;20.2;70.5;1.7;
2016-09-13;3.4;19.7;67.7;3.3;
2016-09-14;6.8;13.2;65;3.6;
2016-09-15;0;11;76.3;1.1;
2016-09-16;0;12.1;76;.7;
2016-09-17;0;17.3;71.2;1.2;
2016-09-18;1.4;18;81.7;1.2;
2016-09-19;0;16;66.7;1.7;
2016-09-20;0;10.4;75.5;1;
2016-09-21;0;13.5;72.5;1.1;
2016-09-22;0;15.7;67;1;
2016-09-23;0;15.7;72.5;1;
2016-09-24;0;14.3;68.2;1.6;
2016-09-25;0;12.3;69.8;1.3;
2016-09-26;.2;11.5;74;1;
2016-09-27;0;13.4;70.1;.8;
2016-09-28;0;17.1;65.2;1.4;
2016-09-29;0;13.7;66.9;1.5;
2016-09-30;0;13.6;70.6;1.5;
2016-10-01;0;16.1;66.5;1.5;
2016-10-02;0;17.1;66.1;1.3;
2016-10-03;0;18.5;62.7;1.3;
2016-10-04;0;17.2;76.3;1.3;
2016-10-05;0;16.2;79.3;1.3;
2016-10-06;21.6;15;85.4;1.4;
2016-10-07;.2;16.3;75.1;1.1;
2016-10-08;0;16.7;69;1.8;
2016-10-09;0;12.4;63.1;.9;
2016-10-10;0;15;64.7;1.2;
2016-10-11;0;18.9;69.3;1.6;
2016-10-12;0;17.3;81;1.7;
2016-10-13;31;19.9;76.8;2.3;
2016-10-14;0;20.6;79.2;1.1;
2016-10-15;0;21.2;76.9;1.8;
2016-10-16;9.2;22.8;78.9;2.3;
2016-10-17;19;19.1;89.7;1.5;
2016-10-18;80;18.1;92.8;1.2;
2016-10-19;58.4;18.2;94.3;1.2;
2016-10-20;37.6;20.9;77.2;1.9;
2016-10-21;0;15.2;78.8;1.2;
2016-10-22;0;15.6;79.6;1.1;
2016-10-23;.2;19.3;82.4;1.2;
2016-10-24;3.8;21.7;84.6;1;
2016-10-25;21.4;20.8;85.2;1.3;
2016-10-26;7.6;20.4;86;1.6;
2016-10-27;30.8;16.1;73;3.6;
2016-10-28;.4;12.3;60.4;2.2;
2016-10-29;0;13.7;71.2;1.1;
2016-10-30;0;17.9;63.5;1.6;
2016-10-31;0;21.7;61.3;2;
2016-11-01;0;24;68.8;1.8;
2016-11-02;20;17;81.4;2.2;
2016-11-03;.4;13.2;70.4;1.1;
2016-11-04;0;15.6;67;1;
2016-11-05;0;18.5;68.9;.9;
2016-11-06;0;20.8;60.4;1.5;
2016-11-07;0;23.2;60.6;1.2;
2016-11-08;0;22.8;69.6;1.2;
2016-11-09;9.8;20.7;84.1;1.8;
2016-11-10;6.2;21.7;75.1;1.4;
2016-11-11;0;19.1;78.8;1.2;
2016-11-12;0;15.8;59.3;1.3;
2016-11-13;0;19.4;65.5;1.2;
2016-11-14;0;21.5;65.2;1;
2016-11-15;0;23.1;64.6;1.6;
2016-11-16;4;21.1;74.4;1.6;
2016-11-17;2;17.9;86.1;1.4;
2016-11-18;13.8;11.6;80;1.4;
2016-11-19;0;14.3;71.7;1.1;
2016-11-20;0;18.2;67.3;1.1;
2016-11-21;0;20.9;67.5;1.3;
2016-11-22;0;17.6;73.1;1.6;
2016-11-23;0;18;61.5;1.4;
2016-11-24;0;18.7;61.2;1.1;
2016-11-25;2;21.5;72;1.4;
2016-11-26;.2;23.9;73.3;1;
2016-11-27;0;23.7;78.8;1.2;
2016-11-28;10.4;21.3;89.4;1.3;
2016-11-29;0;19.8;69.9;1.8;
2016-11-30;0;17.9;67.8;1.5;
2016-12-01;0;20.8;62.2;1.3;
2016-12-02;0;23;62.7;1.6;
2016-12-03;5.8;19.4;90.9;1.1;
2016-12-04;69.4;18.7;83.8;1.2;
2016-12-05;.6;18;71.8;.9;
2016-12-06;.2;20.8;66.8;1;
2016-12-07;0;22.2;71.5;.8;
2016-12-08;0;21.5;77.5;1.1;
2016-12-09;0;19.4;82.3;1.5;
2016-12-10;0;23.2;73.4;1.3;
2016-12-11;.4;23.6;73.6;1.1;
2016-12-12;.2;22.5;64.5;1.1;
2016-12-13;0;22.7;72.6;1.3;
2016-12-14;5.2;18.7;69.5;1.4;
2016-12-15;.2;16.8;59.9;1.4;
2016-12-16;0;20.2;57.1;2.5;
2016-12-17;0;22.7;63.6;2.7;
2016-12-18;0;22.7;73.2;1.9;
2016-12-19;1.6;21.7;78.8;1.8;
2016-12-20;.2;22.6;76.6;.8;
2016-12-21;.2;23.7;71.7;1.3;
2016-12-22;.4;25;70.3;1.7;
2016-12-23;.2;24.3;75.2;2.3;
2016-12-24;10.8;23.8;81.9;1.6;
2016-12-25;19.2;25;75.2;1.2;
2016-12-26;1.8;27;69.4;2.1;
2016-12-27;.2;24.6;82.8;1.3;
2016-12-28;10.2;23.4;89;.8;
2016-12-29;10.4;22.8;89.2;1.1;
2016-12-30;24.8;23.4;84.2;1.2;
2016-12-31;13.2;21.5;89.3;1.3;
2017-01-01;18.4;24;79.9;1.5;
2017-01-02;.2;23.7;85;1.1;
2017-01-03;.6;25.5;75.8;1.6;
2017-01-04;9.8;24.2;81;2.1;
2017-01-05;20;23.4;83.6;1.8;
2017-01-06;15.2;22;89.5;1;
2017-01-07;.6;23.2;81;1.2;
2017-01-08;.2;24.7;81.1;1.1;
2017-01-09;2.2;23.1;86.2;1.4;
2017-01-10;20.6;22.4;83;1.6;
2017-01-11;.2;22.3;83.3;1.1;
2017-01-12;0;23.1;74.6;1;
2017-01-13;0;23.3;74.5;1.3;
2017-01-14;0;23.8;75.8;1;
2017-01-15;0;25;71.5;1.2;
2017-01-16;0;24.4;74.2;1.6;
2017-01-17;7.6;23.1;80.1;2.2;
2017-01-18;1.4;24.1;77;1.3;
2017-01-19;0;22.7;71.9;1.3;
2017-01-20;0;22.1;69.9;1.2;
2017-01-21;0;22.1;72.8;1.1;
2017-01-22;0;22.9;74.8;1.1;
2017-01-23;.2;21.9;75;1;
2017-01-24;8.4;23.6;72.9;1.4;
2017-01-25;1.4;22.1;78.9;1.8;
2017-01-26;1.8;17.7;89;1;
2017-01-27;10.8;18.7;76.8;1.1;
2017-01-28;.2;20.2;76;1;
2017-01-29;0;21.7;80.6;1.4;
2017-01-30;14.8;22.2;83;1.2;
2017-01-31;.4;23.1;78.6;1.4;
2017-02-01;2;22.5;79.7;1.4;
2017-02-02;10.4;23;82.1;1.4;
2017-02-03;4.8;23.3;81.9;1.2;
2017-02-04;1;24.3;75;1;
2017-02-05;1.6;23.2;79.1;1.7;
2017-02-06;0;21;75.1;1.5;
2017-02-07;.2;18.2;75.2;1;
2017-02-08;0;21.1;78.6;1.4;
2017-02-09;0;23.8;74;1.2;
2017-02-10;.6;23.2;75.9;1.4;
2017-02-11;1.2;21.1;90.6;.6;
2017-02-12;36.4;22.8;85.4;1.4;
2017-02-13;2.6;23.5;82.3;2;
2017-02-14;30.2;22.3;87.5;1.8;
2017-02-15;49.8;24.1;83.2;1.3;
2017-02-16;.2;25.1;78.3;1.3;
2017-02-17;1.2;24.4;76.8;1.4;
2017-02-18;0;26;75.9;1.2;
2017-02-19;0;24.1;80.6;1.2;
2017-02-20;.2;24.9;79.3;.8;
2017-02-21;0;25;74.7;1;
2017-02-22;0;24.7;76.8;1.7;
2017-02-23;13.8;22.7;81.4;1.1;
2017-02-24;.2;23;83.8;1.1;
2017-02-25;.2;22.5;86;1;
2017-02-26;0;22.8;80.8;1;
2017-02-27;.2;23.6;77.2;1;
2017-02-28;0;23.9;78.2;1.3;
2017-03-01;1;22.2;87.1;1.1;
2017-03-02;2.8;23.8;79.2;1;
2017-03-03;0;24.1;80.8;1.4;
2017-03-04;57.6;22;89.9;1.1;
2017-03-05;1.6;22.4;87.1;1.1;
2017-03-06;0;23.2;80;1.1;
2017-03-07;0;23.5;81.7;1;
2017-03-08;0;23.9;77.5;1.3;
2017-03-09;0;25.9;70.5;2.5;
2017-03-10;34;21.6;90;1.3;
2017-03-11;4;22.5;83.3;.9;
2017-03-12;0;22.2;84.4;2.3;
2017-03-13;35.6;16.2;77.6;1;
2017-03-14;0;17.1;80.1;.9;
2017-03-15;.2;22.1;76.5;1.2;
2017-03-16;63.2;21.4;85.1;1.9;
2017-03-17;3.2;16.7;82.8;1.5;
2017-03-18;.2;15.1;81.6;1.1;
2017-03-19;0;18.8;79;1.1;
2017-03-20;0;19.9;78.5;1.1;
2017-03-21;0;19.9;76.1;1.2;
2017-03-22;0;22.1;70.7;1.4;
2017-03-23;0;20.9;79.4;1.1;
2017-03-24;0;20.8;80.3;.8;
2017-03-25;.2;19.5;84.4;1.1;
2017-03-26;.2;20.2;81;.8;
2017-03-27;0;20.7;76.8;.8;
2017-03-28;0;20.2;77.5;1.2;
2017-03-29;0;19.6;74.3;1.2;
2017-03-30;0;18.9;73.8;1.1;
2017-03-31;.2;18.2;73.5;1.1;
2017-04-01;0;18.3;73.3;1.2;
2017-04-02;0;18.8;71.2;1.3;
2017-04-03;0;20.1;76.5;.9;
2017-04-04;0;20.4;81.6;.8;
2017-04-05;20.6;20.2;88.1;1.1;
2017-04-06;2.2;20.2;81.8;1.1;
