Nome: CHAPECO
Codigo Estacao: A895
Latitude: -27.0853111
Longitude: -52.6357111
Altitude: 679
Situacao: Operante
Data Inicial: 2019-02-18
Data Final: 2025-04-25
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);TEMPERATURA MEDIA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2019-02-18;null;null;null;null;
2019-02-19;null;null;null;null;
2019-02-20;null;23.1;75.5;2.3;
2019-02-21;.2;22.9;73.3;3;
2019-02-22;0;24.2;69.8;2.9;
2019-02-23;0;26.1;67.9;3.1;
2019-02-24;0;26.2;66.7;4.9;
2019-02-25;22;18.4;91.3;4.2;
2019-02-26;43;18;83.1;3.2;
2019-02-27;0;20.1;75.9;3.1;
2019-02-28;0;20.2;65.7;1.9;
2019-03-01;0;21.2;66.4;2.9;
2019-03-02;0;23.2;62.2;2.3;
2019-03-03;0;23.8;55.2;2.3;
2019-03-04;0;25.1;59.5;3.9;
2019-03-05;0;25.6;67.3;3.5;
2019-03-06;0;24.2;70.8;3.4;
2019-03-07;14.4;21.4;81.6;4.2;
2019-03-08;6;22.1;80.6;4.5;
2019-03-09;23.8;19.7;92.3;2.3;
2019-03-10;7;20.4;82.5;5.2;
2019-03-11;0;20.7;84.2;3.6;
2019-03-12;14.4;19.4;91.2;3.9;
2019-03-13;28.4;20.7;87.6;2.2;
2019-03-14;.8;21.1;87.5;1.6;
2019-03-15;.2;21.1;86;1.7;
2019-03-16;0;23.2;78;2.6;
2019-03-17;.4;20.9;88.3;3.2;
2019-03-18;22.2;19.5;94.6;2.9;
2019-03-19;28.8;19.5;85.9;1.5;
2019-03-20;.2;18.6;88.3;3.2;
2019-03-21;0;17;78.3;4.6;
2019-03-22;0;18.8;80.3;3;
2019-03-23;0;20.4;74;2.6;
2019-03-24;0;21.9;68.1;2.8;
2019-03-25;0;21.1;67.1;1.7;
2019-03-26;0;20.1;54.3;3.2;
2019-03-27;0;19.5;69.6;4.4;
2019-03-28;0;21.2;74.1;4.1;
2019-03-29;0;21.6;70;2.8;
2019-03-30;0;22.3;67.9;2.3;
2019-03-31;0;22.8;71.1;2.4;
2019-04-01;0;23.8;71.1;2.3;
2019-04-02;0;23.2;71.8;2.7;
2019-04-03;0;22.1;76.1;2.3;
2019-04-04;0;23.7;76.3;4;
2019-04-05;14.8;20.6;91.3;3.8;
2019-04-06;5.4;16.8;92.9;3.6;
2019-04-07;13.2;18.5;93.4;1.8;
2019-04-08;.2;19.5;85.1;3.2;
2019-04-09;0;19.7;76.7;3.2;
2019-04-10;0;20.2;72.1;2.8;
2019-04-11;0;21.1;68.4;2.7;
2019-04-12;0;21.3;74.3;1.9;
2019-04-13;0;22.2;69.8;2.4;
2019-04-14;0;23.2;67.1;2.7;
2019-04-15;0;23.6;71.5;2.2;
2019-04-16;38.4;21.3;82.2;3.4;
2019-04-17;0;19.1;73.3;3.2;
2019-04-18;0;18.6;70.2;2.3;
2019-04-19;0;20.9;64.9;2.3;
2019-04-20;0;19.4;81;2.7;
2019-04-21;35.6;17.6;94.3;2.7;
2019-04-22;4.8;19.9;87.5;2.5;
2019-04-23;0;20.7;86;2.6;
2019-04-24;.2;21.5;78.8;2.3;
2019-04-25;0;21.4;83;2.6;
2019-04-26;0;21.7;86.1;2.2;
2019-04-27;.2;20.6;87.9;2.7;
2019-04-28;27.8;17.7;95.2;2.8;
2019-04-29;5.2;17.3;84.6;2.4;
2019-04-30;.2;18.1;84.9;2.6;
2019-05-01;.8;18.9;90.3;1.7;
2019-05-02;0;20;86.2;2.5;
2019-05-03;0;21.7;82.7;3.3;
2019-05-04;.6;23.6;78.9;3.3;
