Nome: CAMBARA DO SUL
Codigo Estacao: A897
Latitude: -29.04916666
Longitude: -50.14972221
Altitude: 1017
Situacao: Operante
Data Inicial: 2016-11-23
Data Final: 2025-04-25
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);TEMPERATURA MEDIA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2016-11-23;null;null;null;null;
2016-11-24;null;null;null;null;
2016-11-25;null;null;70.2;null;
2016-11-26;0;20.1;82.5;2.6;
2016-11-27;0;20.7;81.8;3.1;
2016-11-28;18.4;19.3;87.6;3.7;
2016-11-29;0;16.1;73.6;2.7;
2016-11-30;0;13.1;75.7;3.5;
2016-12-01;0;15.2;73.6;3.3;
2016-12-02;0;18;77.6;2.8;
2016-12-03;0;16.5;91;2.4;
2016-12-04;46.2;13.9;85.8;4.4;
2016-12-05;0;14.5;75;2.2;
2016-12-06;0;18.3;63.5;2.3;
2016-12-07;0;19.2;71.7;2.2;
2016-12-08;7;18.5;78.1;2.4;
2016-12-09;1.6;14.3;91;2.8;
2016-12-10;3.2;18.4;85.3;2.9;
2016-12-11;0;21;72.7;3.2;
2016-12-12;0;19.2;65;2.4;
2016-12-13;0;19.8;79.9;3;
2016-12-14;7.8;14.5;77.5;3.3;
2016-12-15;0;12;72.4;2.8;
2016-12-16;0;14.1;79.2;4.4;
2016-12-17;0;17.6;81.7;2.8;
2016-12-18;1.4;20.2;72.5;3.2;
2016-12-19;1.6;20.4;71.4;4.1;
2016-12-20;2;18.6;85.9;2.3;
2016-12-21;2.6;19.7;81.9;2.2;
2016-12-22;0;20.4;81.1;2.7;
2016-12-23;1.2;20.3;84.4;3.6;
2016-12-24;4.8;20.9;85.2;3.1;
2016-12-25;0;20.5;83.3;2.6;
2016-12-26;6.4;24.2;70.1;4.3;
2016-12-27;6.6;22.4;83.7;3.4;
2016-12-28;7;20.6;90.1;2.5;
2016-12-29;6;20.3;89.6;2;
2016-12-30;31.6;20.4;90.3;2.1;
2016-12-31;17;20.1;85.9;2.9;
2017-01-01;4;21.9;78.4;3.8;
2017-01-02;.2;21;90.2;1.9;
2017-01-03;10.4;22;81.6;2.8;
2017-01-04;14.8;21.7;81.7;4;
2017-01-05;10.8;20.1;91.1;3.5;
2017-01-06;30.2;17.9;86.8;3.3;
2017-01-07;.2;18.8;77.1;2.7;
2017-01-08;1;21.1;87;2.3;
2017-01-09;20.4;21.1;83.5;3.5;
2017-01-10;15.2;20.5;83.1;3.3;
2017-01-11;3;19.3;91.5;2.2;
2017-01-12;4;19;79.2;2.6;
2017-01-13;0;19.8;72;2.8;
2017-01-14;0;21.3;77.5;2.2;
2017-01-15;0;21.6;83;2.6;
2017-01-16;5.2;21.7;76.8;2.6;
2017-01-17;.8;22;77.5;3.4;
2017-01-18;.2;20.7;79.1;3.4;
2017-01-19;0;18.4;74.9;3.2;
2017-01-20;0;17.9;75.7;2.7;
2017-01-21;0;17.7;78.6;2.9;
2017-01-22;0;18.7;78.3;2.7;
2017-01-23;0;19.3;81.8;2.5;
2017-01-24;1.2;19.7;83.9;2.3;
2017-01-25;10.6;19.6;84.8;3;
2017-01-26;.2;16.7;87.8;2.2;
2017-01-27;9;15;84.4;1.8;
2017-01-28;0;17.1;85;2.8;
2017-01-29;0;18.7;87.2;3.2;
2017-01-30;0;20.3;81.5;2.6;
2017-01-31;0;19.9;83.8;2.8;
2017-02-01;.8;19.2;82.6;2.7;
2017-02-02;.6;19.6;85.6;2.6;
2017-02-03;3.2;20.2;86.5;2.8;
2017-02-04;15.6;20.9;81.7;2.5;
2017-02-05;.2;21.5;75.2;2.9;
2017-02-06;0;20.4;76.3;2.9;
2017-02-07;0;16.3;77.8;2.2;
2017-02-08;0;16.9;87.3;2.8;
2017-02-09;0;18.8;85.9;2.7;
2017-02-10;0;20.1;80.5;2.9;
2017-02-11;.2;18.9;88;1.8;
2017-02-12;8;null;86.1;3.1;
2017-02-13;null;null;83.5;null;
2017-02-14;null;20.4;85.7;3.1;
2017-02-15;1.2;22.1;78.9;3.3;
2017-02-16;0;22.4;76.9;2.6;
2017-02-17;16.8;22.9;73.7;3.3;
2017-02-18;0;22.8;71.9;2.4;
2017-02-19;0;21.7;77.7;2.2;
2017-02-20;.2;23.1;77.7;2;
2017-02-21;.2;22.6;72.2;2.1;
2017-02-22;0;22.3;78.4;2.7;
2017-02-23;15.6;20.7;78.7;2.1;
2017-02-24;.8;19.8;87.3;1.9;
2017-02-25;4.6;19.3;89.4;1.8;
2017-02-26;10.2;19.3;83.2;2.2;
2017-02-27;.2;19.5;82.3;2.3;
2017-02-28;0;20.9;80.5;2.9;
2017-03-01;0;20.3;87.3;2.6;
2017-03-02;0;21.7;80.8;2.2;
2017-03-03;0;21.7;84.7;2.4;
2017-03-04;28.2;20.6;90;3;
2017-03-05;3.4;19.1;93.3;2.6;
2017-03-06;4.8;18.4;90.2;3.3;
2017-03-07;0;19.5;88;2.7;
2017-03-08;0;19.7;86.7;3.1;
2017-03-09;2.4;21.1;81;4;
2017-03-10;20.4;19.7;88.9;3.3;
2017-03-11;.6;17.9;78.5;2.6;
2017-03-12;0;17.9;91.2;5;
2017-03-13;25.4;14.8;71.2;3;
2017-03-14;0;15.6;80.4;2.8;
2017-03-15;.2;19.3;74;3;
2017-03-16;0;18.5;86.4;4;
2017-03-17;7.2;14.2;87.2;3.1;
2017-03-18;.2;12.7;80.3;2.5;
2017-03-19;0;15.5;84.3;3;
2017-03-20;.2;15.6;86.1;3.2;
2017-03-21;0;16.5;81.5;3.5;
2017-03-22;0;17.5;80;3.4;
2017-03-23;0;17;87.8;2.4;
2017-03-24;6.2;17.2;87.4;2.7;
2017-03-25;.4;16.3;86.4;2.1;
2017-03-26;.6;17;87.5;3.3;
2017-03-27;0;16.7;87.3;3.1;
2017-03-28;0;15.5;90.3;3.5;
2017-03-29;.6;14.7;87.7;3.9;
2017-03-30;0;15.6;79;3;
2017-03-31;.2;14.8;82.3;3.1;
2017-04-01;1;14.7;83.1;3.4;
2017-04-02;.6;15.4;89.1;3.5;
2017-04-03;0;17.1;87.2;3.2;
2017-04-04;0;18.1;79.9;1.9;
2017-04-05;19;17.3;90;2.3;
2017-04-06;6.2;16.9;86.7;2;
2017-04-07;.2;16.2;85.7;4.1;
2017-04-08;0;16.7;92.5;4.9;
2017-04-09;0;18.4;89;3.7;
2017-04-10;0;20.1;81.8;3.7;
2017-04-11;.4;18.6;79.9;4.6;
2017-04-12;1.2;11.9;84.2;1.8;
2017-04-13;0;13.3;75;3.2;
2017-04-14;0;15.3;87.8;2.5;
2017-04-15;0;16.8;91.3;1.7;
2017-04-16;2.6;15.4;95.3;2.4;
2017-04-17;3.2;13.7;88.4;2.7;
2017-04-18;.2;14.2;87.5;3.2;
2017-04-19;0;14.8;88.5;3.6;
2017-04-20;0;16;82.4;2.8;
2017-04-21;1.2;17.2;85;3.3;
2017-04-22;0;13;79;2.7;
2017-04-23;.2;11.7;83.7;2;
2017-04-24;.2;13.3;89.2;2.7;
2017-04-25;18.6;14.9;91.5;2.9;
2017-04-26;32.6;14.1;81.8;7;
2017-04-27;0;7.4;73;5.7;
2017-04-28;0;8.6;68.7;1.8;
2017-04-29;0;11.8;56.3;1.7;
2017-04-30;0;13.9;43.9;1.9;
2017-05-01;0;12.9;53.8;1.8;
2017-05-02;0;15.2;75.2;2.4;
2017-05-03;0;15.4;83.2;2;
2017-05-04;.6;13.8;93.8;1.6;
2017-05-05;6.4;15.2;90.5;2;
2017-05-06;.2;14.9;92.2;2.8;
2017-05-07;2.2;15.9;88.3;2.5;
2017-05-08;.4;15.3;78.8;3;
2017-05-09;0;15.4;81.2;2.6;
2017-05-10;1;12;89.4;2;
2017-05-11;.2;10.2;79.9;2.4;
2017-05-12;0;13.1;85.1;2.5;
2017-05-13;.4;15.3;85.8;2.9;
2017-05-14;33.6;12.7;91.6;4.4;
2017-05-15;.2;11.5;87;2.1;
2017-05-16;.2;11.5;86;1.9;
2017-05-17;0;12.9;81;2.2;
2017-05-18;0;12.8;92.1;4.4;
2017-05-19;19;13.2;92.1;4.3;
2017-05-20;0;14;93;4.4;
2017-05-21;10.2;14.9;94.7;2.5;
2017-05-22;1.8;10.7;85.3;1.7;
2017-05-23;.2;12.7;87;3.2;
2017-05-24;8.6;15.4;85.8;3.1;
2017-05-25;2.4;18.6;83;2.7;
2017-05-26;5;18.6;88.5;3.3;
2017-05-27;48;13.7;95;3;
2017-05-28;30.4;14.1;94.3;3.7;
2017-05-29;10;15.2;92.2;4.3;
2017-05-30;1.4;10.9;94.2;1.9;
2017-05-31;17.6;10.8;95.6;2.8;
2017-06-01;11;null;96;3.8;
2017-06-02;null;10.6;90;3.1;
2017-06-03;.2;10.9;85;2.8;
2017-06-04;3.2;13;90.5;2.8;
2017-06-05;33.6;13.4;95.9;2.3;
2017-06-06;9.2;13.2;94.7;2.2;
2017-06-07;.6;13.4;94.3;1.8;
2017-06-08;48.2;14.7;89.1;7.5;
2017-06-09;1.2;7.2;90.8;4.9;
2017-06-10;3.6;5.4;84.3;5.4;
2017-06-11;0;9.5;71.8;2;
2017-06-12;0;9.8;82.8;2.1;
2017-06-13;0;11.4;72.6;1.8;
2017-06-14;0;11.7;70.8;2.3;
2017-06-15;.2;12.6;82.7;3;
2017-06-16;0;13.2;83.2;2.4;
