Nome: CAMPO NOVO DOS PARECIS
Codigo Estacao: A905
Latitude: -13.78583333
Longitude: -57.8386111
Altitude: 525.41
Situacao: Pane
Data Inicial: 2002-12-12
Data Final: 2025-04-25
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);TEMPERATURA MEDIA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2002-12-12;null;null;null;null;
2002-12-13;null;null;84.4;null;
2002-12-14;null;24.6;84;null;
2002-12-15;null;23.4;87.2;null;
2002-12-16;null;23.4;85.5;null;
2002-12-17;null;23.3;87.4;null;
2002-12-18;null;24.9;77.6;null;
2002-12-19;null;23.9;85.7;null;
2002-12-20;null;23.5;85.6;null;
2002-12-21;null;24.9;77;null;
2002-12-22;null;26.2;73.5;null;
2002-12-23;null;26.2;72.2;null;
2002-12-24;null;27;69.9;null;
2002-12-25;null;24.9;79.7;null;
2002-12-26;null;24.7;83.6;null;
2002-12-27;null;25.4;76.3;null;
2002-12-28;null;25.3;78.8;null;
2002-12-29;null;23.6;87.3;null;
2002-12-30;null;23.5;86.4;null;
2002-12-31;null;24.6;80;null;
2003-01-01;null;24.1;85.5;null;
2003-01-02;null;24.8;82.6;null;
2003-01-03;null;23.9;86.1;null;
2003-01-04;null;23.5;86.8;null;
2003-01-05;null;25.2;78.5;null;
2003-01-06;null;27.2;68.1;null;
2003-01-07;null;25.5;81.1;null;
2003-01-08;null;23.2;91.9;null;
2003-01-09;null;25.1;82.1;null;
2003-01-10;null;26.8;74;null;
2003-01-11;null;26.8;72.5;null;
2003-01-12;null;26.5;73.2;null;
2003-01-13;null;24.3;81.3;null;
2003-01-14;null;25.4;78.2;null;
2003-01-15;null;24.7;83.3;null;
2003-01-16;null;23.9;86.2;null;
2003-01-17;null;24.9;81.5;null;
2003-01-18;26.6;22.5;91.3;2.1;
2003-01-19;49.2;22.4;88.8;2.4;
2003-01-20;5.6;23.5;83.8;2.7;
2003-01-21;.4;23.8;79;2.5;
2003-01-22;.2;24.2;78.1;1.8;
2003-01-23;0;24.6;80.8;1.5;
2003-01-24;4.8;23.4;86;1.4;
2003-01-25;5.4;22.8;89.3;1.2;
2003-01-26;16.6;23.5;85.3;1.4;
2003-01-27;18.4;22.8;88.8;1.4;
2003-01-28;26.2;23;87.8;1.3;
2003-01-29;8.8;23.7;82;1.4;
2003-01-30;3.4;24.3;81.3;1.7;
