Nome: AGUA BOA
Codigo Estacao: A908
Latitude: -14.01638888
Longitude: -52.21166666
Altitude: 440
Situacao: Operante
Data Inicial: 2006-12-15
Data Final: 2025-04-25
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);TEMPERATURA MEDIA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2006-12-15;null;null;null;null;
2006-12-16;null;null;74.1;null;
2006-12-17;0;26.1;79.1;2;
2006-12-18;2.8;24.1;87.6;2.6;
2006-12-19;21;23.7;86.3;2.1;
2006-12-20;.8;25.2;81.1;2.5;
2006-12-21;0;25.7;80.3;1.8;
2006-12-22;0;25.8;78.9;2.2;
2006-12-23;0;null;76.7;2.3;
2006-12-24;null;26.3;73.1;1.8;
2006-12-25;null;null;null;null;
2006-12-26;null;null;65.3;null;
2006-12-27;0;25.2;81.9;2;
2006-12-28;6.2;24.8;80.8;2.2;
2006-12-29;0;26.1;75.3;2.3;
2006-12-30;10.6;24.6;85.8;2.8;
2006-12-31;8.8;23.2;90.9;2.1;
2007-01-01;11.8;23.7;88.3;2.3;
2007-01-02;3.2;24.4;85.5;2.4;
2007-01-03;11.6;23.8;87.9;2.6;
2007-01-04;11;24.8;82;2.7;
2007-01-05;0;25.5;80.5;3;
2007-01-06;9.2;24;88.1;3.6;
2007-01-07;.4;24.9;82.5;2.3;
2007-01-08;.4;24.8;84.3;2.2;
2007-01-09;5.6;27.1;75.5;1.3;
2007-01-10;0;26.4;74.7;3.1;
2007-01-11;2.8;24.9;83.1;3.2;
2007-01-12;0;26.3;75;2.1;
2007-01-13;0;25.9;81.8;3.1;
2007-01-14;15.8;24.5;89.5;3.1;
2007-01-15;14.4;24;89.1;3.4;
2007-01-16;8.4;24.2;88.1;2;
2007-01-17;5.2;25.6;80.4;1.6;
2007-01-18;5.8;27.5;74;2.3;
2007-01-19;5.8;27.5;78;2;
2007-01-20;0;27.5;77;1.7;
2007-01-21;0;27.2;75.2;1.5;
2007-01-22;0;26.5;77.8;1.7;
2007-01-23;0;24.5;85.3;1.8;
2007-01-24;.8;25.3;81.1;1.9;
2007-01-25;.6;24.8;85.8;2.5;
2007-01-26;13.2;25.6;83.2;2.5;
2007-01-27;null;null;88.7;2.8;
2007-01-28;.2;25;84.9;1.8;
2007-01-29;71;24.4;87.3;2.8;
2007-01-30;2.6;24.4;86;1.7;
2007-01-31;59.6;24.4;90.7;1.7;
2007-02-01;55.2;24.6;88.8;2.6;
2007-02-02;15.6;24;89.5;4.4;
2007-02-03;9.8;24.3;88;3.4;
2007-02-04;14.8;24;90.3;4.1;
2007-02-05;48.4;23.2;94;3.5;
2007-02-06;27;24.9;87.7;3;
2007-02-07;40.8;24.3;89.8;3.4;
2007-02-08;3.2;24.1;91.5;3.1;
2007-02-09;14.6;24.9;85.4;2.5;
2007-02-10;.2;26.3;81;1.4;
2007-02-11;5.2;26.7;75.3;2;
2007-02-12;.4;25.5;82.7;2.9;
2007-02-13;6.2;23.6;91.3;2.1;
2007-02-14;23.8;24.6;87.5;4.1;
2007-02-15;56.4;24;88.5;3.1;
2007-02-16;43.6;25.3;82.7;3.2;
2007-02-17;2.4;24.6;86.3;3.2;
2007-02-18;0;24.2;85.8;2.5;
2007-02-19;38.2;23.3;88.3;2.7;
2007-02-20;.4;23;89.9;1.7;
2007-02-21;35.4;22.7;92.5;3.5;
2007-02-22;1.8;23.6;90.6;2.9;
2007-02-23;3.2;24.1;86.4;2;
2007-02-24;4.8;25.4;80.2;1.4;
2007-02-25;.4;26.3;76.4;1.4;
2007-02-26;0;25.9;79.8;2.2;
2007-02-27;3.8;25.2;81.4;2.2;
2007-02-28;4.4;24.9;81.8;2.1;
2007-03-01;0;24.1;87.6;2.2;
