Nome: SAPEZAL
Codigo Estacao: A911
Latitude: -13.30388888
Longitude: -58.76333333
Altitude: 105
Situacao: Operante
Data Inicial: 2017-10-19
Data Final: 2025-04-25
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);TEMPERATURA MEDIA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2017-10-19;null;null;null;null;
2017-10-20;null;23.7;80.2;2.7;
2017-10-21;4.4;24.1;79;3;
2017-10-22;0;23.5;78;3.6;
2017-10-23;0;24.1;76.6;2.2;
2017-10-24;0;24.7;76;2.4;
2017-10-25;0;25.8;70.5;2.2;
2017-10-26;.2;25.7;71.5;3.2;
2017-10-27;0;25.6;71;3.8;
2017-10-28;0;25.6;75.3;3.3;
2017-10-29;.2;24.8;77.9;2.4;
2017-10-30;.8;25.5;74.9;3.5;
2017-10-31;0;24.6;78.1;4.8;
2017-11-01;40;24.1;82.6;2.9;
2017-11-02;8.4;25.9;78.8;2.4;
2017-11-03;1.8;25.1;81.7;3.3;
2017-11-04;.2;25.1;79.6;3.7;
2017-11-05;5.8;25.5;76.3;2.9;
2017-11-06;0;23.4;84;3.8;
2017-11-07;0;25.3;74.3;2.2;
2017-11-08;0;24.8;80.2;2.1;
2017-11-09;4.8;24.1;84.7;2.3;
2017-11-10;9.2;23.9;87.2;2.2;
2017-11-11;20.6;22.7;91.1;3.3;
2017-11-12;.2;25.3;77.8;2.4;
2017-11-13;0;25;80.3;2;
2017-11-14;2.4;25;84.4;1.8;
2017-11-15;0;23.5;89.5;2.7;
2017-11-16;0;23.8;86.7;2.4;
2017-11-17;24.4;24.2;86.7;3.3;
2017-11-18;0;24.7;83.3;3.1;
2017-11-19;0;23.2;90;2.9;
2017-11-20;5.2;23.7;84.7;2.7;
2017-11-21;0;23;89.9;3;
2017-11-22;3.8;22.8;92.1;2.7;
2017-11-23;12.8;24.8;85.9;1.9;
2017-11-24;9.4;24.7;83.5;1.9;
2017-11-25;3.8;24.5;87.9;3.3;
2017-11-26;1;24;88.3;3;
2017-11-27;.8;24.2;85.9;2.2;
2017-11-28;0;23.8;87.9;1.6;
2017-11-29;6;24;88;1.8;
2017-11-30;6;24.2;87.1;2.7;
2017-12-01;1.6;23;92.8;3.3;
2017-12-02;2;22.8;92.3;3.8;
2017-12-03;11.2;25;84.5;1.5;
2017-12-04;10;24.5;84.7;2;
2017-12-05;.2;24.2;87.7;2.6;
2017-12-06;1;23.8;90;1.4;
2017-12-07;13;24.7;84.4;1.4;
2017-12-08;7.6;24.5;86.3;2.1;
2017-12-09;.4;24;89.5;2.8;
2017-12-10;.2;22.5;93;4.1;
2017-12-11;15.2;21.6;90.8;1.4;
2017-12-12;7.4;23.4;85.3;1.4;
2017-12-13;0;23.8;88.9;3.2;
2017-12-14;3;23.9;86.4;3.1;
2017-12-15;1.6;23.6;90.5;2.1;
2017-12-16;2.8;24.1;88.8;2.6;
2017-12-17;2.8;24.3;88.2;2.6;
2017-12-18;34.8;23.3;89.5;3.1;
2017-12-19;.2;23.5;90.2;3.5;
2017-12-20;0;22.8;90.8;2.1;
2017-12-21;4.2;23.4;87.9;2.4;
