Nome: SINOP
Codigo Estacao: A917
Latitude: -11.98222221
Longitude: -55.56611111
Altitude: 366.57
Situacao: Operante
Data Inicial: 2006-10-28
Data Final: 2025-04-25
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);TEMPERATURA MEDIA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2006-10-28;null;null;null;null;
2006-10-29;null;null;null;1.3;
2006-10-30;null;null;null;null;
2006-10-31;null;null;null;null;
2006-11-01;null;null;null;null;
2006-11-02;null;null;null;null;
2006-11-03;null;null;null;null;
2006-11-04;null;null;82.2;null;
2006-11-05;null;null;73.1;1.3;
2006-11-06;0;27.4;76.1;2;
2006-11-07;1.8;24.7;86.1;1.7;
2006-11-08;.4;25.5;83;1.5;
2006-11-09;3;24.4;88.6;1.4;
2006-11-10;11.2;24.3;88.6;2.3;
2006-11-11;8.2;23.5;84.3;2.3;
2006-11-12;0;25.5;76.3;1.8;
2006-11-13;0;26.8;67.8;2.4;
2006-11-14;0;25.5;75.7;1.8;
2006-11-15;0;26.1;72.1;1.9;
2006-11-16;0;27.4;64.3;2;
2006-11-17;0;28.3;55.8;1.6;
2006-11-18;0;27.7;64.8;1.8;
2006-11-19;0;27.4;69.4;1.7;
2006-11-20;0;24.9;76.8;2.5;
2006-11-21;0;26.3;73.6;.8;
2006-11-22;0;24.9;81.8;2.7;
2006-11-23;8.2;24.6;79.2;1.5;
2006-11-24;1.6;25.9;78.5;1.7;
2006-11-25;0;26;77.9;1.8;
2006-11-26;27.6;27;77.1;1.5;
2006-11-27;.4;23.8;90.9;2.4;
2006-11-28;.2;24.2;88;1.5;
2006-11-29;.8;24.1;90.3;1.5;
2006-11-30;2.4;26.3;79.1;1.2;
2006-12-01;71;24.7;87.5;1.3;
2006-12-02;2.8;24.5;88.5;2.3;
2006-12-03;14.4;24.5;88.3;1.1;
2006-12-04;2.4;25.7;83.6;1.3;
2006-12-05;33.2;24;90.1;2.2;
2006-12-06;0;25.5;84.8;1.6;
2006-12-07;2.4;24.7;87;1.5;
2006-12-08;30;21.9;94.3;2.1;
2006-12-09;22.4;23.7;88.5;.9;
2006-12-10;0;26.1;82.1;1.5;
2006-12-11;11;23.9;90.3;2.2;
2006-12-12;20.2;24.7;89.3;1.9;
2006-12-13;15.4;24.2;89.5;2.4;
2006-12-14;8.6;24.1;91.4;2.1;
2006-12-15;52.8;23;91.3;1.6;
2006-12-16;10.6;25.3;84;1.2;
2006-12-17;.6;24.5;88.5;1.1;
2006-12-18;.4;24.7;88.4;1.5;
2006-12-19;4.2;22.5;93;1.9;
2006-12-20;4;24.8;81;1.1;
2006-12-21;.2;25.5;83.3;1.4;
2006-12-22;13.4;24.8;85.4;1.5;
2006-12-23;4.2;null;89.8;null;
2006-12-24;null;23.7;86.5;1.2;
2006-12-25;null;null;null;null;
2006-12-26;null;null;88.6;null;
2006-12-27;.2;25;84.1;1.2;
2006-12-28;29.8;25.3;85.1;1.6;
2006-12-29;0;24.1;91;1.5;
2006-12-30;15.4;25.2;82.1;1.4;
2006-12-31;34.6;24.5;85.3;1.6;
2007-01-01;5;25.5;84.8;1.7;
2007-01-02;3.4;25.1;85.9;2;
2007-01-03;13.4;24.7;86.6;2.2;
2007-01-04;12.6;25.1;83;1.6;
2007-01-05;1.2;25;84.8;1.9;
2007-01-06;77.8;23.6;89.9;2.1;
2007-01-07;7.8;24.3;87.7;1.2;
2007-01-08;6.4;25.4;83.8;1.4;
2007-01-09;0;26.1;84.5;1.1;
2007-01-10;1.2;25.4;85.6;2.1;
2007-01-11;3;24.8;84.1;1.2;
2007-01-12;2.4;26.3;76.1;1.3;
2007-01-13;13;25.4;86;1.7;
2007-01-14;.4;24.9;85.9;2.9;
2007-01-15;.4;24;89.5;2.1;
2007-01-16;7.6;24.3;89.7;1.5;
2007-01-17;.6;24.9;86.8;1.6;
2007-01-18;.8;25.6;84.9;1.4;
2007-01-19;.4;25.9;83.9;1.6;
2007-01-20;0;24.7;89.6;1.1;
2007-01-21;7.4;25.9;81.7;1.3;
2007-01-22;0;26.9;79.5;1.1;
2007-01-23;4;25.2;85.3;1.8;
2007-01-24;25;24.5;90.3;1.6;
2007-01-25;5.8;24.6;88.9;1.7;
2007-01-26;5;24.2;89.8;1.5;
2007-01-27;48.8;23.7;88.9;1.4;
2007-01-28;2.8;25.4;84.8;1.7;
2007-01-29;.2;23.7;91.7;1.6;
2007-01-30;4.8;24.8;85.9;1.2;
2007-01-31;.4;24.6;88;1.1;
2007-02-01;.6;23.9;91.6;2.6;
2007-02-02;5;24.2;90.7;2.7;
2007-02-03;5.6;24.7;88.8;2.5;
2007-02-04;5.8;24.1;91.6;2.2;
2007-02-05;19.2;24;91.3;1.5;
2007-02-06;15;23.9;90.6;2.1;
2007-02-07;3;24.6;88.3;2;
2007-02-08;47;23.6;92.5;1.5;
2007-02-09;.2;24.6;85.8;1.8;
2007-02-10;.8;26.4;80.2;1.7;
2007-02-11;1;26.1;82;1.4;
2007-02-12;16.6;25.5;84.8;2.6;
2007-02-13;14.2;24.5;88.3;2.2;
2007-02-14;5.2;25.1;87.5;2.6;
2007-02-15;11.4;24.2;87;2.4;
2007-02-16;.2;25.5;81.3;2;
2007-02-17;0;25;85.3;1.6;
2007-02-18;104.4;22.9;89.2;1.8;
2007-02-19;1.4;24;83.3;2.7;
2007-02-20;2.4;23.1;90.5;2.2;
2007-02-21;6.2;24.3;86.5;1.7;
2007-02-22;3.6;24.1;88.5;1.4;
2007-02-23;11.6;24.3;87.1;1.9;
2007-02-24;.6;25.5;79.3;2;
2007-02-25;.8;26.9;72.2;1.6;
2007-02-26;0;26.6;76.3;2.1;
2007-02-27;1.8;25.3;82.4;2.6;
2007-02-28;55.8;25.5;79.6;1.7;
2007-03-01;0;26.5;74.6;2.1;
2007-03-02;0;27.2;73.1;2;
2007-03-03;2.2;26.9;74.3;2.2;
2007-03-04;0;27.1;68.9;2.4;
2007-03-05;0;27.5;68.9;2.3;
2007-03-06;0;27.6;63.8;2.2;
2007-03-07;0;26.6;68;1.6;
2007-03-08;0;26.6;71.7;1.4;
2007-03-09;5.6;24.4;84.3;1.3;
2007-03-10;3.4;24.8;85;1.7;
2007-03-11;3.4;24.6;84;1.2;
2007-03-12;22.8;24.2;84.1;1.8;
2007-03-13;.2;24.6;85.8;1.8;
2007-03-14;11.8;25.9;80.3;1.6;
2007-03-15;0;24.6;84.5;2.2;
2007-03-16;7;24.5;87.6;1.2;
2007-03-17;2.6;25.8;81.2;1.3;
2007-03-18;52.2;23.1;92.3;1.8;
2007-03-19;17.2;24.5;85.2;1.4;
2007-03-20;39.2;24.8;86.3;1.4;
2007-03-21;52.2;23.5;87.7;1.6;
2007-03-22;1.4;23.7;90;1.9;
2007-03-23;30.6;25.9;77.8;1.9;
2007-03-24;.4;26.8;75.2;1.8;
2007-03-25;0;27.5;70.4;1.7;
2007-03-26;0;27;73.3;1.5;
2007-03-27;.8;26;81.2;1.4;
2007-03-28;3;26.8;73.5;1.4;
2007-03-29;0;28.2;66.4;1.5;
2007-03-30;0;27.9;64.5;1.7;
2007-03-31;0;28;65.8;1.9;
2007-04-01;0;27.3;68;1.1;
2007-04-02;0;27.8;64.2;1.1;
2007-04-03;0;27.8;57.7;1.1;
2007-04-04;0;26.7;67.7;1.4;
2007-04-05;0;26.1;74.9;1.2;
2007-04-06;.2;26.8;72.9;1.4;
2007-04-07;0;27.7;70.4;1;
2007-04-08;.6;25.6;79.8;2.2;
2007-04-09;25.6;25.4;83.5;2.2;
2007-04-10;0;26.4;78.2;1.5;
2007-04-11;.2;24.2;89.8;1.7;
2007-04-12;33.2;25;83.5;1.2;
2007-04-13;1.2;25.8;83;1.7;
2007-04-14;0;26.4;80;1.5;
2007-04-15;0;26.7;73.7;1.9;
2007-04-16;0;26.6;76;1.6;
2007-04-17;0;26.6;73.7;1.2;
2007-04-18;0;24.8;81.4;1.3;
2007-04-19;7;24.2;80.1;1.7;
