Nome: CONFRESA
Codigo Estacao: A918
Latitude: -10.63944444
Longitude: -51.57138888
Altitude: 233.28
Situacao: Desativada
Data Inicial: 2008-06-06
Data Final: 2018-03-11
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);TEMPERATURA MEDIA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2008-06-06;null;null;null;null;
2008-06-07;null;25.5;62.5;1.6;
2008-06-08;0;25.8;64.3;1.5;
2008-06-09;0;25.8;63.4;1.5;
2008-06-10;0;25.7;63.5;1.6;
2008-06-11;0;26;61.9;1.5;
2008-06-12;0;25.9;58.2;1.7;
2008-06-13;0;25.4;59;1.4;
2008-06-14;0;25.2;58.4;1.4;
2008-06-15;0;25.6;60.5;1.1;
2008-06-16;0;25.5;57.3;1.5;
2008-06-17;0;25.2;60;1.2;
2008-06-18;0;26.1;59.7;1.7;
2008-06-19;0;26.2;58.8;1.5;
2008-06-20;0;25.6;57.5;1.5;
2008-06-21;0;25.3;58.9;1.2;
2008-06-22;0;25.2;57.8;1.6;
2008-06-23;0;25.4;55.8;1.4;
2008-06-24;0;25;56.5;1.7;
2008-06-25;0;25.1;55.9;1.5;
2008-06-26;0;25.3;54.8;1.9;
2008-06-27;0;25.2;53.5;2.1;
2008-06-28;0;24.9;57.3;1.7;
2008-06-29;0;25.1;60.4;1.8;
2008-06-30;0;26.3;55.9;1.7;
2008-07-01;0;26.5;48;2.1;
2008-07-02;0;25.6;54.8;1.5;
2008-07-03;0;26;57;1.9;
2008-07-04;0;26;55.6;1.3;
2008-07-05;0;26;53.7;1.5;
2008-07-06;0;25.9;53.8;1.8;
2008-07-07;0;26.1;57.7;1.7;
2008-07-08;0;25.7;54.8;2.1;
2008-07-09;0;24.7;49.7;2;
2008-07-10;0;25.2;46.4;1.9;
2008-07-11;0;25.6;49.5;2.3;
2008-07-12;0;25.1;56.1;2.1;
2008-07-13;0;24.9;55.5;1.6;
2008-07-14;0;25.3;43.3;2.5;
2008-07-15;0;23.3;50.9;2.2;
2008-07-16;0;23.8;52;2;
2008-07-17;0;24;49.7;1.6;
2008-07-18;0;25.2;53;1.3;
2008-07-19;0;26.1;53.7;1.8;
2008-07-20;0;26.8;50.9;1.6;
2008-07-21;0;26.2;49.9;2;
2008-07-22;0;25.9;40.5;1.7;
2008-07-23;0;25.3;45.6;1.3;
2008-07-24;0;26.5;48.3;1.2;
2008-07-25;0;27.6;45.5;1.3;
2008-07-26;0;26.4;44.3;1.7;
2008-07-27;0;26.7;40.5;1.9;
2008-07-28;0;25.9;42.5;2.3;
2008-07-29;0;26.2;41.2;2;
2008-07-30;0;25.8;43.2;1.2;
2008-07-31;0;26.5;47.7;1.2;
2008-08-01;0;27.7;47.1;1.3;
2008-08-02;0;27.8;43;1.4;
2008-08-03;0;27.7;42;.9;
2008-08-04;0;28.4;38.8;1.8;
2008-08-05;0;28.5;40;1.4;
2008-08-06;0;28.4;43.1;2;
2008-08-07;0;27.8;46.3;2;
2008-08-08;0;27.2;41.4;1.4;
2008-08-09;0;28.1;41.5;1.4;
2008-08-10;0;28.5;44.3;1.4;
2008-08-11;0;29;39.9;2;
2008-08-12;0;27.9;35.2;2.3;
2008-08-13;0;27.7;35.5;1.8;
2008-08-14;0;28.1;37.5;1.7;
2008-08-15;0;28;33.3;2.1;
2008-08-16;0;27.7;37.1;1.7;
2008-08-17;0;28.4;36.9;1.6;
2008-08-18;0;28.3;39.1;1.8;
2008-08-19;0;27;38.4;2.4;
2008-08-20;0;26.9;35.8;2.1;
2008-08-21;0;28.2;35.8;1.9;
2008-08-22;0;29.6;31.9;1.5;
2008-08-23;0;28.6;36.5;1.5;
2008-08-24;0;28.9;43.9;2;
2008-08-25;0;30;38.5;2.3;
2008-08-26;0;29.4;31.7;2.5;
2008-08-27;0;28;36.5;1.1;
2008-08-28;0;28.6;33.8;1.1;
2008-08-29;0;30.2;30.3;1.4;
2008-08-30;0;29.9;34.5;1.4;
2008-08-31;0;30.8;39.7;1.2;
2008-09-01;0;29.5;50;2.1;
2008-09-02;0;29.7;44.1;2;
2008-09-03;0;29.8;37.5;1.9;
2008-09-04;0;30.3;41.4;1;
2008-09-05;0;30.8;40.2;1.2;
2008-09-06;0;30.9;41.3;1.8;
2008-09-07;0;30.4;45.4;1.7;
2008-09-08;0;31;38;2.1;
2008-09-09;0;30.1;41.4;1.7;
2008-09-10;0;30.1;44.6;1.9;
2008-09-11;0;29.9;36.5;1.8;
2008-09-12;0;29.8;34;1.6;
2008-09-13;0;31.2;33.3;1.6;
2008-09-14;0;30.5;39;1.8;
2008-09-15;0;29.9;47;1.4;
2008-09-16;0;28.8;51;1.5;
2008-09-17;0;28.3;60.2;2.3;
2008-09-18;.4;29.6;52.3;1.1;
2008-09-19;0;30.9;42.6;1.1;
2008-09-20;0;25.3;71;1.6;
2008-09-21;2.6;25.9;72.7;1.9;
2008-09-22;0;27.9;59.5;1.9;
2008-09-23;0;29.3;46.6;1.7;
2008-09-24;0;30.3;34.9;1.2;
2008-09-25;0;30.1;44.5;3;
2008-09-26;0;29.3;52.6;1.8;
2008-09-27;1.2;28.5;58.9;1.4;
2008-09-28;4.2;26.8;67.8;1.3;
2008-09-29;0;27.7;64.7;2.4;
2008-09-30;0;28.8;61.4;1.4;
2008-10-01;14;23.9;85.1;1.2;
2008-10-02;31.6;24.9;77.3;3;
2008-10-03;0;25.6;72.9;1.8;
2008-10-04;10;28.1;65.2;1;
2008-10-05;0;28.4;61.3;1.7;
2008-10-06;0;26.6;69.3;1.5;
2008-10-07;0;29;59;1.7;
2008-10-08;.8;29.3;54.3;1.3;
2008-10-09;0;29.9;50;1.5;
2008-10-10;0;29.4;50;1.2;
2008-10-11;0;29.2;53.6;1.5;
2008-10-12;0;29.8;46.5;1.7;
2008-10-13;0;30;42.5;1.9;
2008-10-14;0;30.4;42;1.4;
2008-10-15;0;30.9;40.2;1.3;
2008-10-16;0;30.6;41.9;1.9;
2008-10-17;0;29.6;53.2;2.3;
2008-10-18;0;26.7;70.2;2.5;
2008-10-19;11.8;25.6;74.3;1.3;
2008-10-20;0;28.8;61.4;1.7;
2008-10-21;1.6;24.9;82.4;1.7;
2008-10-22;47.6;24.7;80;1.8;
2008-10-23;14;26.6;75.6;1.2;
2008-10-24;.2;27.6;71.8;1.6;
2008-10-25;0;26.4;70.4;1.8;
2008-10-26;0;28.4;60.1;1.4;
2008-10-27;0;30.4;56.3;1.6;
2008-10-28;0;26.9;67.7;2.6;
