Nome: SAO FELIX DO ARAGUAIA
Codigo Estacao: A921
Latitude: -11.61888888
Longitude: -50.72777777
Altitude: 201.37
Situacao: Fechada
Data Inicial: 2007-10-18
Data Final: 2025-04-25
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);TEMPERATURA MEDIA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2007-10-18;null;null;null;null;
2007-10-19;null;26.8;71.3;1.7;
2007-10-20;0;29.3;61.6;1.8;
2007-10-21;11.8;26.9;67.6;2.4;
2007-10-22;0;28.6;64.9;1.8;
2007-10-23;8.2;23.5;88.4;2.2;
2007-10-24;70.6;25.2;79.5;1.7;
2007-10-25;0;25.6;76;1.8;
2007-10-26;0;27.3;68.5;2;
2007-10-27;0;30.1;57;1.6;
2007-10-28;0;30.2;63.8;1.5;
2007-10-29;0;29.9;64.6;1.5;
2007-10-30;0;25;83.4;2.9;
2007-10-31;20.4;25;78.2;1.4;
2007-11-01;0;28;68.9;2.2;
2007-11-02;0;28.5;66.7;2.1;
2007-11-03;0;28.9;66;1.4;
2007-11-04;0;null;79;null;
2007-11-05;null;null;null;null;
2007-11-06;null;null;null;null;
2007-11-07;null;null;null;null;
2007-11-08;null;null;null;null;
2007-11-09;null;null;null;null;
2007-11-10;null;null;null;null;
2007-11-11;null;null;null;null;
2007-11-12;null;null;null;null;
2007-11-13;null;null;null;null;
2007-11-14;null;null;null;null;
2007-11-15;null;null;null;null;
2007-11-16;null;null;null;null;
2007-11-17;null;null;null;null;
2007-11-18;null;null;null;null;
2007-11-19;null;null;null;null;
2007-11-20;null;null;null;null;
2007-11-21;null;null;null;null;
2007-11-22;null;null;null;null;
2007-11-23;null;null;null;null;
2007-11-24;null;null;null;null;
2007-11-25;null;null;null;null;
2007-11-26;null;null;null;null;
2007-11-27;null;null;null;null;
2007-11-28;null;null;null;null;
2007-11-29;null;null;null;null;
2007-11-30;null;null;null;null;
2007-12-01;null;null;null;null;
2007-12-02;null;null;null;null;
2007-12-03;null;null;null;null;
2007-12-04;null;null;null;null;
2007-12-05;null;null;null;null;
2007-12-06;null;null;null;null;
2007-12-07;null;null;null;null;
2007-12-08;null;null;null;null;
2007-12-09;null;null;null;null;
2007-12-10;null;null;null;null;
2007-12-11;null;null;null;null;
2007-12-12;null;null;null;null;
2007-12-13;null;null;null;null;
2007-12-14;null;null;null;null;
2007-12-15;null;null;null;null;
2007-12-16;null;null;null;null;
2007-12-17;null;null;null;null;
2007-12-18;null;null;null;null;
2007-12-19;null;null;null;null;
2007-12-20;null;null;null;null;
2007-12-21;null;null;null;null;
2007-12-22;null;null;null;null;
2007-12-23;null;null;null;null;
2007-12-24;null;null;null;null;
2007-12-25;null;null;null;null;
2007-12-26;null;null;null;null;
2007-12-27;null;null;null;null;
2007-12-28;null;null;null;null;
2007-12-29;null;null;null;null;
2007-12-30;null;null;null;null;
2007-12-31;null;null;null;null;
2008-01-01;null;null;null;null;
2008-01-02;null;null;null;null;
2008-01-03;null;null;null;null;
2008-01-04;null;null;null;null;
2008-01-05;null;null;null;null;
2008-01-06;null;null;null;null;
2008-01-07;null;null;null;null;
2008-01-08;null;null;null;null;
2008-01-09;null;null;null;null;
2008-01-10;null;null;null;null;
2008-01-11;null;null;null;null;
2008-01-12;null;null;null;null;
2008-01-13;null;null;null;null;
2008-01-14;null;null;null;null;
2008-01-15;null;null;null;null;
2008-01-16;null;null;null;null;
2008-01-17;null;null;null;null;
2008-01-18;null;null;null;null;
2008-01-19;null;null;null;null;
2008-01-20;null;null;null;null;
2008-01-21;null;null;null;null;
2008-01-22;null;null;null;null;
2008-01-23;null;null;null;null;
2008-01-24;null;null;null;null;
2008-01-25;null;null;null;null;
2008-01-26;null;null;null;null;
2008-01-27;null;null;null;null;
2008-01-28;null;null;null;null;
2008-01-29;null;null;null;null;
2008-01-30;null;null;null;null;
2008-01-31;null;null;null;null;
2008-02-01;null;null;null;null;
2008-02-02;null;null;null;null;
2008-02-03;null;null;null;null;
2008-02-04;null;null;null;null;
2008-02-05;null;null;null;null;
2008-02-06;null;null;null;null;
2008-02-07;null;null;null;null;
2008-02-08;null;null;null;null;
2008-02-09;null;null;null;null;
2008-02-10;null;null;null;null;
2008-02-11;null;null;null;null;
2008-02-12;null;null;null;null;
2008-02-13;null;null;null;null;
2008-02-14;null;null;null;null;
2008-02-15;null;null;null;null;
2008-02-16;null;null;null;null;
2008-02-17;null;null;null;null;
2008-02-18;null;null;null;null;
2008-02-19;null;null;null;null;
2008-02-20;null;null;null;null;
2008-02-21;null;null;null;null;
2008-02-22;null;null;null;null;
2008-02-23;null;null;null;null;
2008-02-24;null;null;null;null;
2008-02-25;null;null;null;null;
2008-02-26;null;null;null;null;
2008-02-27;null;null;null;null;
2008-02-28;null;null;null;null;
2008-02-29;null;null;null;null;
2008-03-01;null;null;null;null;
2008-03-02;null;null;null;null;
2008-03-03;null;null;null;null;
2008-03-04;null;null;null;null;
2008-03-05;null;null;null;null;
2008-03-06;null;null;null;null;
