Nome: PRIMAVERA DO LESTE
Codigo Estacao: A923
Latitude: -15.57999999
Longitude: -54.3811111
Altitude: 680
Situacao: Pane
Data Inicial: 2017-10-25
Data Final: 2025-04-25
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);TEMPERATURA MEDIA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2017-10-25;null;null;null;null;
2017-10-26;null;27.1;57.3;2.6;
2017-10-27;19.8;24;71.2;5.9;
2017-10-28;0;24.8;73;4.1;
2017-10-29;14.8;22.5;85.6;2.8;
2017-10-30;2;25.4;72.1;3.4;
2017-10-31;0;22.8;85.9;4;
2017-11-01;13.4;23.6;79.9;1.8;
2017-11-02;0;26.3;69.6;3.9;
2017-11-03;0;25.4;72.9;4.3;
2017-11-04;0;26.3;68.9;3.9;
2017-11-05;0;24.5;77.3;3.6;
2017-11-06;39.2;23.2;84.8;2.6;
2017-11-07;66;23.5;84.9;2.2;
2017-11-08;.2;22.7;87.9;1.8;
2017-11-09;3.2;24.4;78.9;1.8;
2017-11-10;.2;24;81;2.7;
2017-11-11;40.6;22.4;90.9;3;
2017-11-12;2.2;24.5;79.4;3.4;
2017-11-13;0;25.7;63.5;2.8;
2017-11-14;.4;25.8;69.9;2.5;
2017-11-15;3;27;64.5;4.7;
2017-11-16;0;24.9;71;4.2;
2017-11-17;5;22.6;85.1;4.1;
2017-11-18;9.4;23;86.1;3.6;
2017-11-19;23.8;23.1;83.8;3.5;
2017-11-20;.2;23.2;87.9;2.4;
2017-11-21;29.6;23.3;88.4;4.8;
2017-11-22;16;22.4;92.4;3.4;
2017-11-23;null;24.2;84.7;1.7;
2017-11-24;.6;25.9;74.2;3.6;
2017-11-25;8.6;25.8;76.6;3.6;
2017-11-26;4;24;80.2;3.3;
2017-11-27;7.4;null;83.4;3.5;
2017-11-28;.2;23.5;86.1;2.5;
2017-11-29;0;25.4;72.9;2.1;
2017-11-30;1.6;23.3;86;3.5;
2017-12-01;114.4;22;92.2;4.2;
2017-12-02;4.6;23.3;87.4;4.2;
2017-12-03;0;23;null;2.9;
2017-12-04;8.4;22.8;null;2.3;
2017-12-05;null;null;null;null;
2017-12-06;null;24.7;null;1.7;
2017-12-07;.2;23.8;null;1.6;
2017-12-08;7.6;23.2;null;2;
2017-12-09;38.8;21.7;null;3;
2017-12-10;20.2;23.2;null;3.3;
2017-12-11;0;22.5;null;2.6;
2017-12-12;0;23.2;null;3.8;
2017-12-13;.2;23.3;null;4.1;
2017-12-14;16;24.7;null;3.1;
2017-12-15;3.2;22.8;null;3.5;
2017-12-16;.8;23.4;null;4.2;
2017-12-17;70.6;23.6;null;5;
2017-12-18;0;23.9;null;4.1;
2017-12-19;0;25.1;null;3.3;
2017-12-20;0;24.4;null;2.4;
2017-12-21;.2;24.2;null;2.6;
2017-12-22;2;22.3;null;2.2;
2017-12-23;11;23;null;3.8;
2017-12-24;10.6;23.9;null;1.8;
2017-12-25;0;25.4;null;2.4;
2017-12-26;.8;23.9;null;1.8;
2017-12-27;11.8;23.7;null;1.5;
2017-12-28;.2;24.4;null;1.5;
2017-12-29;8.4;24.4;null;2.2;
2017-12-30;null;null;null;2.4;
2017-12-31;11.2;23.8;null;3.2;
2018-01-01;0;23.5;null;2.9;
2018-01-02;7.8;24.4;null;2.5;
2018-01-03;3;22.1;null;4;
2018-01-04;7.4;22.4;null;2.3;
2018-01-05;15;22.3;null;3.8;
2018-01-06;21.8;21.8;null;2.6;
2018-01-07;49.6;21.9;null;3;
2018-01-08;6.4;21.9;null;3.9;
2018-01-09;0;21.9;null;4.8;
2018-01-10;0;23.6;null;2.1;
2018-01-11;0;23.8;null;1.7;
2018-01-12;2;22.3;null;4;
2018-01-13;.2;21.8;null;4.5;
2018-01-14;40.6;22.9;null;2.8;
2018-01-15;4.8;22.4;null;1.8;
2018-01-16;60.8;23;null;1.6;
2018-01-17;16.8;25.2;null;1.9;
2018-01-18;.2;25.2;null;2.2;
2018-01-19;3.8;25.7;null;1.8;
2018-01-20;0;26.8;null;2;
2018-01-21;0;26.1;null;2.7;
2018-01-22;5.8;24.6;null;1.9;
2018-01-23;0;25.5;null;2.3;
2018-01-24;0;25.5;null;1.9;
2018-01-25;0;24.7;null;2.4;
2018-01-26;18.2;22.8;null;1.7;
2018-01-27;29.8;22.6;null;1.7;
2018-01-28;3.8;23.5;null;2.9;
2018-01-29;6.8;23.5;null;2.7;
2018-01-30;.6;23.6;null;2.4;
2018-01-31;41.2;24.4;null;2.1;
2018-02-01;.2;24.2;null;1.8;
2018-02-02;2.4;24.2;null;1.7;
2018-02-03;7.2;23.7;null;2.5;
2018-02-04;76.4;23.6;null;2.1;
2018-02-05;.2;23.9;null;1.7;
2018-02-06;21.6;23;null;2.7;
2018-02-07;5.2;23.5;null;3.3;
2018-02-08;5.2;23.9;null;3.4;
2018-02-09;34;24;null;3.2;
2018-02-10;.2;23.3;null;3.2;
2018-02-11;13.8;22.3;null;2.6;
2018-02-12;7.2;24.2;null;1.5;
2018-02-13;4;24.2;null;1.5;
2018-02-14;16.4;25.4;null;2.6;
2018-02-15;.2;23.5;null;1.9;
2018-02-16;0;24.9;null;1.8;
2018-02-17;5.8;25;null;1.7;
2018-02-18;5.2;23.4;null;2.1;
2018-02-19;8.2;23.2;null;4.1;
2018-02-20;36.6;23.5;null;4;
2018-02-21;13.2;22.5;null;2.9;
2018-02-22;18.6;22.2;null;1.5;
2018-02-23;6.6;22;null;2.8;
2018-02-24;32;22.4;null;3.3;
2018-02-25;.6;23.8;null;1.9;
2018-02-26;10.2;23;null;1.7;
2018-02-27;1.6;23.4;null;2.6;
2018-02-28;9.8;23.9;null;2;
2018-03-01;3.6;24.9;null;1.5;
