Nome: SANTO ANTONIO DO LESTE
Codigo Estacao: A931
Latitude: -14.92499999
Longitude: -53.88444444
Altitude: 662
Situacao: Pane
Data Inicial: 2008-05-29
Data Final: 2025-04-25
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);TEMPERATURA MEDIA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2008-05-29;null;null;null;null;
2008-05-30;null;null;null;null;
2008-05-31;null;null;null;null;
2008-06-01;null;null;null;null;
2008-06-02;null;null;67.1;null;
2008-06-03;0;22.1;69.8;1.8;
2008-06-04;0;21.1;69.7;2.3;
2008-06-05;0;21.4;61.9;3.2;
2008-06-06;0;21.2;63.9;2.5;
2008-06-07;0;21.4;60.4;2.3;
2008-06-08;0;22.1;52.4;2.5;
2008-06-09;0;23.6;58;1.9;
2008-06-10;0;23.7;58.5;1.7;
2008-06-11;0;21.4;71.9;2.3;
2008-06-12;0;22.9;59.7;1.9;
2008-06-13;0;22.9;61.1;1.7;
2008-06-14;0;22.5;57.5;2.8;
2008-06-15;0;23;54.8;1.9;
2008-06-16;0;21.4;72.3;2.9;
2008-06-17;0;19.8;68.3;2.6;
2008-06-18;0;21.7;62.4;1.5;
2008-06-19;0;22.7;59.8;3;
2008-06-20;0;23.6;54.8;2.3;
2008-06-21;0;22.7;56;1.4;
2008-06-22;0;20.7;80.3;3.4;
2008-06-23;0;20.9;76.5;3.2;
2008-06-24;0;20.4;75;2.7;
2008-06-25;.2;20.9;70.3;2.8;
2008-06-26;0;21.8;54.5;2.5;
2008-06-27;0;21.9;56.7;2.5;
2008-06-28;0;21.7;56.5;2.2;
2008-06-29;0;20.9;63.8;2.1;
2008-06-30;0;21.4;55.3;2.1;
2008-07-01;0;22.1;52.1;2.7;
2008-07-02;0;21.5;51.3;2.4;
2008-07-03;0;22.1;53.3;2;
2008-07-04;0;21.9;48.3;2.1;
2008-07-05;0;21.7;40.3;2.1;
2008-07-06;0;21.7;41.7;2.8;
2008-07-07;0;23.4;46.8;2;
2008-07-08;0;22.4;50.4;2.2;
2008-07-09;0;22.3;41.5;3.4;
2008-07-10;0;20;42.2;2.8;
2008-07-11;0;20.2;42.5;1.9;
2008-07-12;0;21.6;45;2.2;
2008-07-13;0;22.8;47.3;2.4;
2008-07-14;0;21.6;46.3;3.4;
