Nome: SERRA NOVA DOURADA
Codigo Estacao: A943
Latitude: -11.98777777
Longitude: -51.4261111
Altitude: 441
Situacao: Pane
Data Inicial: 2019-03-28
Data Final: 2025-04-25
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);TEMPERATURA MEDIA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2019-03-28;null;null;null;null;
2019-03-29;null;null;null;null;
2019-03-30;null;null;null;null;
2019-03-31;null;null;null;null;
2019-04-01;null;null;null;null;
2019-04-02;null;null;null;null;
2019-04-03;null;null;null;null;
2019-04-04;null;null;null;null;
2019-04-05;null;null;null;null;
2019-04-06;3.2;24.2;null;1.8;
2019-04-07;0;25.8;null;1.8;
2019-04-08;.4;25.2;86.7;1.5;
2019-04-09;0;25.5;null;2.1;
2019-04-10;3.6;22.8;null;3.5;
2019-04-11;62.8;23.4;87.7;1.9;
2019-04-12;0;26.6;null;1.7;
2019-04-13;0;25.5;null;2.3;
2019-04-14;2.4;25.1;null;2.1;
2019-04-15;0;25;null;2.7;
2019-04-16;3;25.3;null;2.1;
2019-04-17;1.4;25.6;null;2.6;
2019-04-18;0;27.2;null;1.6;
2019-04-19;0;26.9;null;1.5;
2019-04-20;.2;26.9;null;1.9;
2019-04-21;28.4;24.6;null;2.9;
2019-04-22;.2;26.8;null;1.6;
2019-04-23;0;24.3;null;2.9;
2019-04-24;7.4;23.1;null;3.2;
2019-04-25;2.2;25.9;null;3.6;
2019-04-26;0;26.8;null;3.3;
2019-04-27;0;27.2;null;3.1;
2019-04-28;0;28;null;1.7;
2019-04-29;0;28.6;null;1.1;
2019-04-30;0;27.4;null;1.2;
2019-05-01;16.4;25.6;null;2.4;
2019-05-02;.2;25.5;null;2.4;
2019-05-03;0;25.4;null;2.3;
2019-05-04;2.2;25.4;null;2.7;
2019-05-05;0;26.9;null;2.7;
2019-05-06;0;27.7;null;2.5;
2019-05-07;0;27.5;null;2;
2019-05-08;0;28;null;1.7;
2019-05-09;0;27.5;null;2.3;
2019-05-10;0;28;null;2.3;
2019-05-11;0;28.2;null;2.3;
2019-05-12;0;27.9;null;2.6;
2019-05-13;0;27.6;null;2.6;
2019-05-14;0;26.9;null;3.4;
2019-05-15;0;25.3;null;3.8;
2019-05-16;.2;22.8;null;2.4;
2019-05-17;.2;24;null;3;
2019-05-18;0;24.8;null;2.9;
2019-05-19;0;25.9;null;3.3;
2019-05-20;0;26.4;null;2.9;
2019-05-21;0;27;null;2.7;
2019-05-22;0;27.2;null;2.7;
2019-05-23;0;28;null;2.1;
2019-05-24;0;26.4;null;3;
2019-05-25;0;25.7;null;2.8;
2019-05-26;0;27;null;2.8;
2019-05-27;0;27.7;null;3;
2019-05-28;0;27.4;null;2.9;
2019-05-29;0;27.1;null;3.2;
2019-05-30;0;27.9;null;2.4;
2019-05-31;0;28.2;null;1.7;
2019-06-01;0;28;null;1.8;
2019-06-02;0;28.2;null;2.4;
2019-06-03;0;28;null;2.8;
2019-06-04;0;26;null;4.3;
2019-06-05;0;25.5;null;4.7;
2019-06-06;7.8;25.2;null;3.9;
2019-06-07;0;24.8;null;4;
2019-06-08;0;25;null;3.2;
2019-06-09;0;26.3;null;2.6;
2019-06-10;0;26.2;null;3.1;
2019-06-11;0;25.9;null;3.6;
2019-06-12;0;26;null;3.6;
2019-06-13;0;26;null;3.6;
2019-06-14;0;26.1;null;3.6;
2019-06-15;0;25.6;null;4.6;
2019-06-16;0;25.3;null;3.8;
2019-06-17;0;25.2;null;2.9;
2019-06-18;0;26.3;null;2.3;
2019-06-19;0;26.8;null;2.9;
2019-06-20;0;27;null;3.4;
2019-06-21;0;26.5;null;3.5;
2019-06-22;0;25.9;null;4.1;
2019-06-23;0;25.1;null;3.6;
2019-06-24;0;25.7;null;3.2;
2019-06-25;0;27.4;null;2.1;
2019-06-26;0;26.9;null;2.8;
2019-06-27;0;26.9;null;3.7;
2019-06-28;0;25.9;null;3.8;
2019-06-29;0;26.4;null;3.7;
2019-06-30;0;25.9;null;3.6;
2019-07-01;0;26.7;null;2.7;
2019-07-02;0;26.8;null;2.4;
2019-07-03;0;27.1;null;1.9;
2019-07-04;0;27.8;null;1.9;
2019-07-05;0;28.7;null;2;
2019-07-06;0;25;null;6;
2019-07-07;0;22.2;null;6.1;
2019-07-08;null;null;null;null;
2019-07-09;null;null;null;null;
2019-07-10;null;null;null;null;
2019-07-11;null;null;null;null;
2019-07-12;null;null;null;null;
2019-07-13;null;null;null;null;
2019-07-14;null;null;null;null;
2019-07-15;null;null;null;null;
2019-07-16;null;null;null;null;
2019-07-17;null;null;null;null;
2019-07-18;null;null;null;null;
2019-07-19;null;null;null;null;
2019-07-20;null;null;null;null;
2019-07-21;null;null;null;null;
2019-07-22;null;null;null;null;
2019-07-23;null;null;null;null;
2019-07-24;null;null;null;null;
2019-07-25;null;null;null;null;
2019-07-26;null;null;null;null;
2019-07-27;null;null;null;null;
2019-07-28;null;null;null;null;
2019-07-29;null;null;null;null;
2019-07-30;null;null;null;null;
2019-07-31;null;null;null;null;
2019-08-01;null;null;null;null;
2019-08-02;null;null;null;null;
2019-08-03;null;null;null;null;
2019-08-04;null;null;null;null;
2019-08-05;null;null;null;null;
2019-08-06;null;null;null;null;
2019-08-07;null;null;null;null;
2019-08-08;null;null;null;null;
2019-08-09;null;null;null;null;
2019-08-10;null;null;null;null;
2019-08-11;null;null;null;null;
2019-08-12;null;null;null;null;
2019-08-13;null;null;null;null;
2019-08-14;null;null;null;null;
2019-08-15;null;null;null;null;
2019-08-16;null;null;null;null;
2019-08-17;null;null;null;null;
2019-08-18;null;null;null;null;
2019-08-19;null;null;null;null;
2019-08-20;null;null;null;null;
2019-08-21;null;null;null;null;
2019-08-22;null;null;null;null;
2019-08-23;null;null;null;null;
2019-08-24;null;null;null;null;
2019-08-25;null;null;null;null;
2019-08-26;null;null;null;null;
2019-08-27;null;null;null;null;
2019-08-28;null;null;null;null;
2019-08-29;null;null;null;null;
2019-08-30;null;null;null;null;
2019-08-31;null;null;null;null;
2019-09-01;null;null;null;null;
2019-09-02;null;null;null;null;
2019-09-03;null;null;null;null;
2019-09-04;null;null;null;null;
2019-09-05;null;null;null;null;
2019-09-06;null;null;null;null;
2019-09-07;null;null;null;null;
2019-09-08;null;null;null;null;
2019-09-09;null;null;null;null;
2019-09-10;null;null;null;null;
2019-09-11;null;null;null;null;
2019-09-12;null;null;null;null;
2019-09-13;null;null;null;null;
