Nome: LARANJEIRAS DO SUL
Codigo Estacao: B804
Latitude: -25.37138888
Longitude: -52.40083333
Altitude: 889
Situacao: Pane
Data Inicial: 2016-08-06
Data Final: 2025-04-25
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);TEMPERATURA MEDIA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2016-08-06;null;null;null;null;
2016-08-07;null;null;null;null;
2016-08-08;null;15.8;92.5;1.1;
2016-08-09;4;14.8;84.2;1.5;
2016-08-10;0;9.8;82.1;1.3;
2016-08-11;0;9.2;75.4;1.4;
2016-08-12;0;9.5;80.8;1.2;
2016-08-13;0;12.2;71.9;1.3;
2016-08-14;0;16.5;69.3;1.1;
2016-08-15;20.6;15.6;83.4;2.3;
2016-08-16;8.8;16.1;79.5;1.8;
2016-08-17;0;19.7;74.6;3.8;
2016-08-18;3.6;14.9;91.4;1.5;
2016-08-19;26.6;15.7;89.1;null;
2016-08-20;76.6;15.6;92.1;null;
2016-08-21;28.6;10.8;85;null;
2016-08-22;0;6.8;76.9;null;
2016-08-23;.2;9.3;75.1;1.4;
2016-08-24;0;12.8;74.4;1.7;
2016-08-25;0;17.6;71.5;1.5;
2016-08-26;0;19.4;73.6;1.7;
2016-08-27;0;18.4;67.1;1.7;
2016-08-28;0;21.5;48.7;2.4;
2016-08-29;0;17.7;82.9;2;
2016-08-30;10.8;15.5;90.8;2.3;
2016-08-31;5.4;12.3;86.2;1.9;
2016-09-01;0;13.7;78.9;1.3;
2016-09-02;0;14.7;79.1;1.4;
2016-09-03;0;15.3;88.4;1.2;
2016-09-04;39;16.2;87.9;1;
2016-09-05;.2;15.7;91.2;1.4;
2016-09-06;23.6;9.5;88.6;2.8;
2016-09-07;.2;8;77.4;1.6;
2016-09-08;0;9.5;76.9;1.2;
2016-09-09;0;13.1;71.3;1.4;
2016-09-10;0;14.1;75.3;1.4;
2016-09-11;0;16.7;73;1.4;
2016-09-12;0;21;64.9;2.5;
2016-09-13;0;21.1;71.3;3.9;
