Nome: COLOMBO
Codigo Estacao: B806
Latitude: -25.322464
Longitude: -49.157733
Altitude: 950
Situacao: Operante
Data Inicial: 2016-05-31
Data Final: 2025-04-25
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);TEMPERATURA MEDIA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2016-05-31;null;null;null;null;
2016-06-01;null;null;null;null;
2016-06-02;null;14.2;87.1;1.3;
2016-06-03;0;13.2;88.6;.9;
2016-06-04;0;13.4;91.8;1.5;
2016-06-05;.8;12.9;97;1.3;
2016-06-06;12;12.1;96.8;1.4;
2016-06-07;.6;11.1;87.6;.9;
2016-06-08;0;7.2;75.3;1.2;
2016-06-09;0;5.6;72.4;.8;
2016-06-10;0;6;71;1.2;
2016-06-11;0;4.8;68.4;1.1;
2016-06-12;0;4;69.5;1.1;
2016-06-13;0;4.6;77.8;1;
2016-06-14;0;9;83.1;1.3;
2016-06-15;0;11.5;83.6;1;
2016-06-16;0;14.5;79.7;.8;
2016-06-17;0;16.4;83.1;1.5;
2016-06-18;0;12.6;97.2;1.4;
2016-06-19;22.8;12.6;95.5;1.1;
2016-06-20;2;8.6;97.6;1.4;
2016-06-21;29.8;8;95.8;1.3;
2016-06-22;22.2;10.6;96.8;1.1;
2016-06-23;5;10.5;91.9;.8;
2016-06-24;0;10.4;90.8;1.3;
2016-06-25;0;11.7;87.5;1.3;
2016-06-26;0;12;92.9;1;
2016-06-27;0;12.6;78.6;1.1;
2016-06-28;0;10.5;82.3;1;
2016-06-29;0;12.2;82.4;1;
2016-06-30;0;13.6;84.5;.8;
2016-07-01;0;13.4;87.7;.9;
2016-07-02;0;14.3;81.2;1;
2016-07-03;0;15.2;79.7;1.1;
2016-07-04;0;15.2;80.1;1.2;
2016-07-05;0;15.7;82;1.5;
2016-07-06;0;15.4;80.8;3;
2016-07-07;2;9.8;71.6;1.6;
2016-07-08;.2;8.6;77.9;1;
2016-07-09;0;10.9;75.8;1.4;
2016-07-10;0;17.2;60.3;1.6;
2016-07-11;0;18.5;66.2;2.3;
2016-07-12;0;20.1;64.8;2.3;
2016-07-13;42.4;14.4;94.4;1.7;
